game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Age of Empires IV,Strateji,"My dad passed away back in May of 2024. We used to play this game together all the time. It was his favorite game to play. We were both excited when the 4th game launched and played online together against the AI all the time. He mained as the English and I mained as the French. My dad was retired at the time and pretty much played this game up to the day he went to the hospital. Sadly, we lost him about a month later due to cancer... He had over 600+ hours logged on this game. I still play this game to this day in memory of my father. I miss you so much dad!",True,2026-05-20 18:40:31,english,21403,"My dad passed away back in May of 2024. We used to play this game together all the time. It was his favorite game to play. We were both excited when the 4th game launched and played online together against the AI all the time. He mained as the English and I mained as the French. My dad was retired at the time and pretty much played this game up to the day he went to the hospital. Sadly, we lost him about a month later due to cancer... He had over 600 hours logged on this game. I still play this game to this day in memory of my father. I miss you so much dad!",english,"My dad passed away back in May of 2024. We used to play this game together all the time. It was his favorite game to play. We were both excited when the 4th game launched and played online together against the AI all the time. He mained as the English and I mained as the French. My dad was retired at the time and pretty much played this game up to the day he went to the hospital. Sadly, we lost him about a month later due to cancer... He had over 600 hours logged on this game. I still play this game to this day in memory of my father. I miss you so much dad!",0.081,0.756,0.163,0.8516,positive,1
Age of Empires IV,Strateji,"新dlc还没发布的时候大家还很奇怪,为什么岳飞为主角的dlc玩家操作的却是金朝
只能说打两把就明白了, 只要你选了金朝, 对面人人都是岳飞👍",True,2026-05-09 14:22:24,schinese,43936,"新dlc还没发布的时候大家还很奇怪,为什么岳飞为主角的dlc玩家操作的却是金朝 只能说打两把就明白了, 只要你选了金朝, 对面人人都是岳飞",schinese,"Before the new dlc was released, everyone was still wondering why the players in the dlc with Yue Fei as the protagonist were playing the Jin Dynasty. It can only be understood after playing two games. As long as you choose the Jin Dynasty, everyone on the opposite side will be Yue Fei.",0.0,0.934,0.066,0.3818,positive,1
Age of Empires IV,Strateji,"NMD,岳飞传奇没有岳飞，只有金朝，俩个都有我都能接受啊，这就好比抗日游戏只能玩日本，水雷真是冯虚御风了，纯nm懒狗，一个dlc4个文明到一个dlc俩个，好家伙现在就一个了，阿米诺斯",False,2026-05-09 07:51:27,schinese,43010,"NMD,岳飞传奇没有岳飞 只有金朝 俩个都有我都能接受啊 这就好比抗日游戏只能玩日本 水雷真是冯虚御风了 纯nm懒狗 一个dlc4个文明到一个dlc俩个 好家伙现在就一个了 阿米诺斯",schinese,"NMD, Legend of Yue Fei does not have Yue Fei, only the Jin Dynasty. I can accept both. It is like the anti-Japanese game can only play Japan. The mine is really Feng Xu Yufeng. Pure nm lazy dog. One dlc has four civilizations to one dlc with two. Now there is only one good guy. Aminos",0.039,0.801,0.16,0.7845,positive,0
Age of Empires IV,Strateji,"If you're like me and want to know whats AO4 compared to AO2, to have some enhanced nostalgia, i explain the game just like this :

AOE2 + strategy rebalanced + great physic + good immersion + civilization completely different one to another = very good game.",True,2026-05-24 18:42:29,english,14328,"If you're like me and want to know whats AO4 compared to AO2, to have some enhanced nostalgia, i explain the game just like this AOE2 strategy rebalanced great physic good immersion civilization completely different one to another very good game.",english,"If you're like me and want to know whats AO4 compared to AO2, to have some enhanced nostalgia, i explain the game just like this AOE2 strategy rebalanced great physic good immersion civilization completely different one to another very good game.",0.0,0.68,0.32,0.9381,positive,1
Age of Empires IV,Strateji,"你说得对 但这游戏存在不限于的有
资源倍率挂
透视挂
官方眼瞎不作为
老外种族歧视
严谨的平衡(指明明知道是BUG故意不修复，然后修复了告诉你这算削弱恶心人）
祝你早日击败三国杀",False,2026-05-13 12:28:49,schinese,54432,你说得对 但这游戏存在不限于的有 资源倍率挂 透视挂 官方眼瞎不作为 老外种族歧视 严谨的平衡(指明明知道是BUG故意不修复 然后修复了告诉你这算削弱恶心人 祝你早日击败三国杀,schinese,"You are right, but this game is not limited to resource multiplication hang, perspective hang, official blindness and inaction, foreigner racial discrimination, strict balance (specify that you know it is a BUG and deliberately do not fix it, then fix it and tell you that this is considered a weakening. Disgusting people. I wish you can defeat the Three Kingdoms Killer as soon as possible.",0.239,0.694,0.066,-0.9473,negative,1
Age of Empires IV,Strateji,"With the new update, any game session that includes a handheld device, the game is limited to 4 players and micro/small maps. WHAT ON EARTH. My friend and I have played for years with zero problem. No latency or performance issues. Why implement this now out of no where. 

I petition to change it back.",False,2026-06-02 20:32:44,english,4969,"With the new update, any game session that includes a handheld device, the game is limited to 4 players and micro small maps. WHAT ON EARTH. My friend and I have played for years with zero problem. No latency or performance issues. Why implement this now out of no where. I petition to change it back.",english,"With the new update, any game session that includes a handheld device, the game is limited to 4 players and micro small maps. WHAT ON EARTH. My friend and I have played for years with zero problem. No latency or performance issues. Why implement this now out of no where. I petition to change it back.",0.139,0.774,0.087,-0.34,negative,1
Age of Empires IV,Strateji,Efsane oyun! Yıllar sonra strateji oyunlarını tekrar sevdirdi. Osmanlı alıp o şahi topunun patlama sesini duymak orgazm yaşattırıyor. Hikayesi de güzel. İngilizlerin ve Rusların tarihleri hakkında bilmediğim pek çok şey öğrendim.,True,2026-05-17 18:36:36,turkish,11014,Efsane oyun! Yıllar sonra strateji oyunlarını tekrar sevdirdi. Osmanlı alıp o şahi topunun patlama sesini duymak orgazm yaşattırıyor. Hikayesi de güzel. İngilizlerin ve Rusların tarihleri hakkında bilmediğim pek çok şey öğrendim.,turkish,"Legendary game! Years later, he made me love strategy games again. Buying an Ottoman and hearing the explosion of that Shahi cannon gives you an orgasm. The story is good too. I learned a lot of things I didn't know about the history of the British and Russians.",0.0,0.862,0.138,0.8122,positive,1
Age of Empires IV,Strateji,"Good game, I grew up with AoE II. 
AoE IV lives up to the reputation of the franchise.",True,2026-05-18 19:41:05,english,4835,"Good game, I grew up with AoE II. AoE IV lives up to the reputation of the franchise.",english,"Good game, I grew up with AoE II. AoE IV lives up to the reputation of the franchise.",0.0,0.854,0.146,0.4404,positive,1
Age of Empires IV,Strateji,非常好玩，基本只打pve，要是像星际一样能出个合作战役就好了,True,2026-05-28 23:17:35,schinese,33257,非常好玩 基本只打pve 要是像星际一样能出个合作战役就好了,schinese,It’s very fun. I basically only play pve. It would be great if there was a cooperative campaign like StarCraft.,0.0,0.56,0.44,0.9117,positive,1
Age of Empires IV,Strateji,新手教程硬控半小时多，就不能设个跳过开局教程的按钮吗，从1代玩到4，万年不变的玩法，难道我还不知道怎么建小人吗。,True,2026-06-06 10:50:21,schinese,88,新手教程硬控半小时多 就不能设个跳过开局教程的按钮吗 从1代玩到4 万年不变的玩法 难道我还不知道怎么建小人吗,schinese,"The novice tutorial is over half an hour long. Can't there be a button to skip the opening tutorial? The gameplay has remained unchanged from generation 1 to 40,000. Don't I still know how to build a villain?",0.097,0.903,0.0,-0.6072,negative,0
