game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Among Us,Cok_Oyunculu,"Hello, it’s me, Crewmate. I am the good guy on the spaceship. I complete all the tasks. My goal is to complete all the tasks before the impostor tries to destroy us..",True,2026-05-12 22:24:03,english,2813,"Hello, it s me, Crewmate. I am the good guy on the spaceship. I complete all the tasks. My goal is to complete all the tasks before the impostor tries to destroy us..",english,"Hello, it s me, Crewmate. I am the good guy on the spaceship. I complete all the tasks. My goal is to complete all the tasks before the impostor tries to destroy us..",0.094,0.829,0.078,-0.1531,negative,0
Among Us,Cok_Oyunculu,"Вроде игра для умных, а комьюнити как будто все умственно отсталое, но игра классная",True,2026-05-16 13:40:43,russian,5761,"Вроде игра для умных, а комьюнити как будто все умственно отсталое, но игра классная",russian,"It seems like a game for smart people, and the community seems to be all mentally retarded, but the game is cool",0.087,0.669,0.243,0.4939,positive,1
Among Us,Cok_Oyunculu,"10/10 Aun en 2026 sigue vivo y esta bueno todavía

✅ Racismo 

✅ Clasismo 

✅ Sexo y odio 
 
✅ Esclavitud 

Recomendado volver al Among us. Especialmente si te gusta el racismo",True,2026-05-13 03:41:55,spanish,9674,10 10 Aun en 2026 sigue vivo y esta bueno todavía Racismo Clasismo Sexo y odio Esclavitud Recomendado volver al Among us. Especialmente si te gusta el racismo,spanish,10 10 Even in 2026 he is still alive and still good Racism Classism Sex and hate Slavery Recommended to return to Among us. Especially if you like racism,0.35,0.44,0.211,-0.8637,negative,0
Among Us,Cok_Oyunculu,This game helped me get a job as a detective. Still looking for the impostor at work though...,True,2026-05-17 09:54:37,english,1090,This game helped me get a job as a detective. Still looking for the impostor at work though...,english,This game helped me get a job as a detective. Still looking for the impostor at work though...,0.0,1.0,0.0,0.0,neutral,0
Among Us,Cok_Oyunculu,"czysto teoretycznie załóżmy, że jesteś prezydentem chujolandi. chujolandia zajmuje powiedzmy 30% naszego globu. twoja chujolandia jest mocarstwem. nuklearnym, atomowym, jest bardzo potężna militarnie. i w pewnym momencie przylatuje ci jakiś przedstawiciel cipkolandi ♥♥♥♥♥",True,2026-05-15 09:46:13,polish,458,"czysto teoretycznie załóżmy, że jesteś prezydentem chujolandi. chujolandia zajmuje powiedzmy 30 naszego globu. twoja chujolandia jest mocarstwem. nuklearnym, atomowym, jest bardzo potężna militarnie. i w pewnym momencie przylatuje ci jakiś przedstawiciel cipkolandi",polish,"Purely theoretically, let's assume that you are the president of Chujolandia. chujolandia occupies, let's say, 30 of our globe. your dickland is a superpower. nuclear, atomic, it is very powerful militarily. and at some point a representative of pussyland arrives",0.0,0.927,0.073,0.4754,positive,1
Among Us,Cok_Oyunculu,"симулятор командного общения, выкидывания негров и евреев. 10 геноцида из 10",True,2026-05-19 16:48:15,russian,1046,"симулятор командного общения, выкидывания негров и евреев. 10 геноцида из 10",russian,"simulator of team communication, throwing out blacks and Jews. 10 genocide out of 10",0.0,1.0,0.0,0.0,neutral,0
Among Us,Cok_Oyunculu,"Когда тебя постояно српашивают где ты был а ты такой срал а они страно но бумага чистая и совем не пахнет,гГДЕ ТЫ БЫЛ бегал страно но футболка чистая и совсем не пахнет.",True,2026-05-11 18:07:50,russian,203,"Когда тебя постояно српашивают где ты был а ты такой срал а они страно но бумага чистая и совем не пахнет,гГДЕ ТЫ БЫЛ бегал страно но футболка чистая и совсем не пахнет.",russian,"When they constantly ask you where you've been and you're such a shit and they're weird, but the paper is clean and doesn't smell at all, WHERE YOU WERE running, weird, but the T-shirt is clean and doesn't smell at all.",0.117,0.738,0.145,0.5267,positive,1
Among Us,Cok_Oyunculu,"грустна, что идентичная версия на мобилы бесплатная. а так, ну, кайф короче,  весело, особенно если попадаются комнаты, где люди хоть немного думают. лютый амогус/10",True,2026-05-26 17:16:24,russian,5756,"грустна, что идентичная версия на мобилы бесплатная. а так, ну, кайф короче, весело, особенно если попадаются комнаты, где люди хоть немного думают. лютый амогус 10",russian,"It's sad that the identical version on mobile is free. and so, well, it’s a thrill, in short, it’s fun, especially if you come across rooms where people think at least a little. fierce amogus 10",0.068,0.684,0.247,0.7964,positive,1
Among Us,Cok_Oyunculu,"играйте с телефона или с эмуляторов, эта игра не заслуживает того, чтобы её реально покупали. мне искренне не понятно, куда идут деньги с продаж, ибо игру каждый день крашат всякие мамкины читеры, скачавшие первый попавшийся им в яндексе хак. сама игра классная, просто вопиющая проблема эксплойтеров, которая никак не решается разработчиками, убивает её.",False,2026-05-27 18:53:19,russian,3632,"играйте с телефона или с эмуляторов, эта игра не заслуживает того, чтобы её реально покупали. мне искренне не понятно, куда идут деньги с продаж, ибо игру каждый день крашат всякие мамкины читеры, скачавшие первый попавшийся им в яндексе хак. сама игра классная, просто вопиющая проблема эксплойтеров, которая никак не решается разработчиками, убивает её.",russian,"play from your phone or from emulators, this game does not deserve to be actually bought. I sincerely don’t understand where the money from sales goes, because the game is ruined every day by all sorts of mom’s cheaters who downloaded the first hack they came across in Yandex. The game itself is cool, it’s just the glaring problem of exploiters, which is not being solved by the developers, killing it.",0.174,0.735,0.091,-0.7972,negative,1
Among Us,Cok_Oyunculu,it's a fun party game with great replay value. The gameplay is a degree of depth but it's all pretty simple. It's got a great graphic design and it's really attractive to new players.,True,2026-05-23 04:12:24,english,1116,it's a fun party game with great replay value. The gameplay is a degree of depth but it's all pretty simple. It's got a great graphic design and it's really attractive to new players.,english,it's a fun party game with great replay value. The gameplay is a degree of depth but it's all pretty simple. It's got a great graphic design and it's really attractive to new players.,0.0,0.546,0.454,0.9701,positive,1
Among Us,Cok_Oyunculu,This game is a CLASSIC. Sometimes I play it by myself in public lobbies just to stimulate my mind and body. I am not the best liar in this game but I am working on it. Sometimes I make my friends mad at this game but that is just the way of life. Sometimes I imagine myself in a skin tight among us imposter suit.,True,2026-05-30 06:07:31,english,380,This game is a CLASSIC. Sometimes I play it by myself in public lobbies just to stimulate my mind and body. I am not the best liar in this game but I am working on it. Sometimes I make my friends mad at this game but that is just the way of life. Sometimes I imagine myself in a skin tight among us imposter suit.,english,This game is a CLASSIC. Sometimes I play it by myself in public lobbies just to stimulate my mind and body. I am not the best liar in this game but I am working on it. Sometimes I make my friends mad at this game but that is just the way of life. Sometimes I imagine myself in a skin tight among us imposter suit.,0.087,0.791,0.123,0.1697,positive,1
Among Us,Cok_Oyunculu,"while the quality of the demographic could definitely improve the experience of this game, playing in the tight-knit discord communites so very present in among us is extremely fun and is what makes this game enjoyable",True,2026-05-26 07:38:20,english,45360,"while the quality of the demographic could definitely improve the experience of this game, playing in the tight-knit discord communites so very present in among us is extremely fun and is what makes this game enjoyable",english,"while the quality of the demographic could definitely improve the experience of this game, playing in the tight-knit discord communites so very present in among us is extremely fun and is what makes this game enjoyable",0.058,0.644,0.298,0.8805,positive,1
Among Us,Cok_Oyunculu,"i just annoy my friends by opening it, i will never play it but its good for that i suppose",True,2026-05-17 04:46:43,english,111,"i just annoy my friends by opening it, i will never play it but its good for that i suppose",english,"i just annoy my friends by opening it, i will never play it but its good for that i suppose",0.137,0.631,0.233,0.5318,positive,1
Among Us,Cok_Oyunculu,"I do recommend this game to play with families and friends, but with strangers, it's another experience.
If you host a lobby, you should not be able to get vote kicked by others. I, the host of a lobby, was vote kicked because supposedly I set the speed too low.
""We're running a fckin snail marathon, mate."" 
""My grandpa can fck faster than this.""
It's my lobby. My rules, and if others don't enjoy it, they can leave and find another to their liking. I do not recommend this with strangers because very often, you'll find those who believe the world revolves around them, and worst of it, everyone tags along against you. I was also playing with my younger sister who had just witnessed me getting kicked out of my own lobby. The fix that I want to this game is that the host cannot be vote-kicked whatsoever.
Please, PLEASE, fix this, for the sake of me and my sister's sanity, and probably thousands, if not, millions more.",False,2026-05-20 04:45:18,english,115,"I do recommend this game to play with families and friends, but with strangers, it's another experience. If you host a lobby, you should not be able to get vote kicked by others. I, the host of a lobby, was vote kicked because supposedly I set the speed too low. ""We're running a fckin snail marathon, mate."" ""My grandpa can fck faster than this."" It's my lobby. My rules, and if others don't enjoy it, they can leave and find another to their liking. I do not recommend this with strangers because very often, you'll find those who believe the world revolves around them, and worst of it, everyone tags along against you. I was also playing with my younger sister who had just witnessed me getting kicked out of my own lobby. The fix that I want to this game is that the host cannot be vote-kicked whatsoever. Please, PLEASE, fix this, for the sake of me and my sister's sanity, and probably thousands, if not, millions more.",english,"I do recommend this game to play with families and friends, but with strangers, it's another experience. If you host a lobby, you should not be able to get vote kicked by others. I, the host of a lobby, was vote kicked because supposedly I set the speed too low. ""We're running a fckin snail marathon, mate."" ""My grandpa can fck faster than this."" It's my lobby. My rules, and if others don't enjoy it, they can leave and find another to their liking. I do not recommend this with strangers because very often, you'll find those who believe the world revolves around them, and worst of it, everyone tags along against you. I was also playing with my younger sister who had just witnessed me getting kicked out of my own lobby. The fix that I want to this game is that the host cannot be vote-kicked whatsoever. Please, PLEASE, fix this, for the sake of me and my sister's sanity, and probably thousands, if not, millions more.",0.082,0.792,0.127,0.3803,positive,0
Among Us,Cok_Oyunculu,好玩是好玩，就是能不能多更新点身份和地图啊,True,2026-06-07 11:47:24,schinese,196,好玩是好玩 就是能不能多更新点身份和地图啊,schinese,"It's fun, but can you update more identities and maps?",0.0,0.807,0.193,0.2846,positive,1
Among Us,Cok_Oyunculu,"Among Us is one of the most engaging and memorable multiplayer games I have ever played. Despite its simple appearance, the game offers a surprisingly deep social experience that encourages teamwork, communication, critical thinking, and strategy.

One of the greatest strengths of Among Us is how it brings people together. Every match creates unique situations where players must work as a team to complete tasks while also trying to determine who can be trusted. The discussions and debates that take place during meetings are often intense, exciting, and genuinely entertaining.

The game's design is easy to understand, making it accessible to players of all skill levels. At the same time, mastering deception, observation, and deduction provides a rewarding challenge that keeps the gameplay fresh even after many hours.

The developers have also done an excellent job supporting the game with new maps, roles, customization options, and quality-of-life improvements. These updates have helped maintain the game's popularity and replay value over time.

Overall, Among Us is a fantastic example of how a simple concept can create an incredibly compelling experience. Its combination of strategy, social interaction, and suspense makes it a standout title that continues to be enjoyable years after its release. I highly recommend it to anyone looking for a fun and meaningful multiplayer game.",True,2026-05-30 03:18:34,english,2183,"Among Us is one of the most engaging and memorable multiplayer games I have ever played. Despite its simple appearance, the game offers a surprisingly deep social experience that encourages teamwork, communication, critical thinking, and strategy. One of the greatest strengths of Among Us is how it brings people together. Every match creates unique situations where players must work as a team to complete tasks while also trying to determine who can be trusted. The discussions and debates that take place during meetings are often intense, exciting, and genuinely entertaining. The game's design is easy to understand, making it accessible to players of all skill levels. At the same time, mastering deception, observation, and deduction provides a rewarding challenge that keeps the gameplay fresh even after many hours. The developers have also done an excellent job supporting the game with new maps, roles, customization options, and quality-of-life improvements. These updates have helped maintain the game's popularity and replay value over time. Overall, Among Us is a fantastic example of how a simple concept can create an incredibly compelling experience. Its combination of strategy, social interaction, and suspense makes it a standout title that continues to be enjoyable years after its release. I highly recommend it to anyone looking for a fun and meaningful multiplayer game.",english,"Among Us is one of the most engaging and memorable multiplayer games I have ever played. Despite its simple appearance, the game offers a surprisingly deep social experience that encourages teamwork, communication, critical thinking, and strategy. One of the greatest strengths of Among Us is how it brings people together. Every match creates unique situations where players must work as a team to complete tasks while also trying to determine who can be trusted. The discussions and debates that take place during meetings are often intense, exciting, and genuinely entertaining. The game's design is easy to understand, making it accessible to players of all skill levels. At the same time, mastering deception, observation, and deduction provides a rewarding challenge that keeps the gameplay fresh even after many hours. The developers have also done an excellent job supporting the game with new maps, roles, customization options, and quality-of-life improvements. These updates have helped maintain the game's popularity and replay value over time. Overall, Among Us is a fantastic example of how a simple concept can create an incredibly compelling experience. Its combination of strategy, social interaction, and suspense makes it a standout title that continues to be enjoyable years after its release. I highly recommend it to anyone looking for a fun and meaningful multiplayer game.",0.02,0.704,0.277,0.996,positive,1
