game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Counter-Strike 2,FPS,"Why, having bought this game last year, should I play with cheaters?
The developers got completely lazy and turned off the anti-cheat in the game altogether..
Do you idiots even understand what's going on with the game in the game itself?! I do not think so.
You just don't give a damn about the honest gaming community, and there are more and more cheaters every day.
Keep releasing crappy updates, but know that the game is already dead, and it's all your fault, the developers.
You've turned the game into a kind of garbage dump populated only by scammers.
........................................................................................................................................
Почему, купив эту игру в далеком году, я должен играть с читерами?
Разработчики совсем обленились и вообще отключили античит в игре..
Вы, идиоты, вообще понимаете, что происходит с игрой и в самой игре?! Я так не думаю.
Вам просто наплевать на честное игровое сообщество, и с каждым днем читеров становится все больше и больше.
Продолжайте выпускать дeрьмoвые обновления, но знайте, что игра уже мертва, и во всем виноваты вы, разработчики.
Вы превратили игру в подобие мусорной свалки, населенной только мошенниками.",False,2026-06-01 00:52:49,russian,37274,"Why, having bought this game last year, should I play with cheaters? The developers got completely lazy and turned off the anti-cheat in the game altogether.. Do you idiots even understand what's going on with the game in the game itself?! I do not think so. You just don't give a damn about the honest gaming community, and there are more and more cheaters every day. Keep releasing crappy updates, but know that the game is already dead, and it's all your fault, the developers. You've turned the game into a kind of garbage dump populated only by scammers. ........................................................................................................................................ Почему, купив эту игру в далеком году, я должен играть с читерами? Разработчики совсем обленились и вообще отключили античит в игре.. Вы, идиоты, вообще понимаете, что происходит с игрой и в самой игре?! Я так не думаю. Вам просто наплевать на честное игровое сообщество, и с каждым днем читеров становится все больше и больше. Продолжайте выпускать дeрьмoвые обновления, но знайте, что игра уже мертва, и во всем виноваты вы, разработчики. Вы превратили игру в подобие мусорной свалки, населенной только мошенниками.",russian,"Why, having bought this game last year, should I play with cheaters? The developers got completely lazy and turned off the anti-cheat in the game altogether.. Do you idiots even understand what's going on with the game in the game itself?! I don't think so. You just don't give a damn about the honest gaming community, and there are more and more cheaters every day. Keep releasing crappy updates, but know that the game is already dead, and it's all your fault, the developers. You've turned the game into a kind of garbage dump populated only by scammers. ........................................................................................................................................ Why, having bought this game back in the year, should I play with cheaters? The developers got completely lazy and completely disabled anti-cheat in the game.. Do you idiots even understand what is happening with the game and in the game itself?! I don't think so. You simply don't care about the honest gaming community, and every day there are more and more cheaters. Keep releasing shitty updates, but know that the game is already dead and it's all your fault, the developers. You have turned the game into something like a garbage dump populated only by cheaters.",0.239,0.696,0.065,-0.9935,negative,1
Counter-Strike 2,FPS,"Comunidad toxica, r4c1sta y xenofób1ca, hackers y un entorno que me hace gritarle a la pantalla, Definitivamente amo este juego (RECOMENDADO)",True,2026-05-12 05:34:38,spanish,4885,"Comunidad toxica, r4c1sta y xenofób1ca, hackers y un entorno que me hace gritarle a la pantalla, Definitivamente amo este juego (RECOMENDADO)",spanish,"Toxic, r4c1sta and xenophobic community, hackers and an environment that makes me scream at the screen, I definitely love this game (RECOMMENDED)",0.09,0.597,0.313,0.7739,positive,1
Counter-Strike 2,FPS,"元老级别的FPS，无论有多少日新月异的新FPS游戏， CS始终是要逾越过去的一座大山。
个人玩家轻轻松松破几千小时，我得评价是夯爆了（看见可不可以给我点点赞，想要点数买涩涩的头像）",True,2026-05-23 08:05:20,schinese,15087,元老级别的FPS 无论有多少日新月异的新FPS游戏 CS始终是要逾越过去的一座大山 个人玩家轻轻松松破几千小时 我得评价是夯爆了 看见可不可以给我点点赞 想要点数买涩涩的头像,schinese,"Veteran-level FPS No matter how many new FPS games there are, CS is always a mountain to overcome. Individual players can easily break through thousands of hours. I think it’s awesome. If you see it, can you give me a like? I want points to buy Seese’s avatar.",0.02,0.791,0.189,0.8491,positive,1
Counter-Strike 2,FPS,Ofisteki çalışan teyzesine kadar -- Parmak uçlarınızdan tutun saç telinize kadar tek tek si.....,True,2026-05-11 13:29:36,turkish,101281,Ofisteki çalışan teyzesine kadar -- Parmak uçlarınızdan tutun saç telinize kadar tek tek si.....,turkish,From your fingertips to your strand of hair...,0.0,1.0,0.0,0.0,neutral,0
Counter-Strike 2,FPS,"ragebaiting game
meet cheater
good cheater
yellow cheater
friend cheater
good game",True,2026-05-10 06:29:55,english,7959,ragebaiting game meet cheater good cheater yellow cheater friend cheater good game,english,ragebaiting game meet cheater good cheater yellow cheater friend cheater good game,0.5,0.179,0.321,-0.7184,negative,0
Counter-Strike 2,FPS,"Игра, особенно в режиме премьер, больше неиграбельна. Читеры открыто говорят о том, сколько они заплатили, и имеют очевидные аим-ассисты или читы на стены, или и то, и другое. Даже сторонние разработчики античитов работают более эффективно. Очень низкий процент читеров получает VAC-бан или хотя бы временные блокировки. Это смешно. С прошлой недели кажется, что в игре больше читеров, чем обычных игроков. Грустно!",False,2026-05-24 12:59:12,russian,7612,"Игра, особенно в режиме премьер, больше неиграбельна. Читеры открыто говорят о том, сколько они заплатили, и имеют очевидные аим-ассисты или читы на стены, или и то, и другое. Даже сторонние разработчики античитов работают более эффективно. Очень низкий процент читеров получает VAC-бан или хотя бы временные блокировки. Это смешно. С прошлой недели кажется, что в игре больше читеров, чем обычных игроков. Грустно!",russian,"The game, especially in premier mode, is no longer playable. Cheaters talk openly about how much they paid, and have obvious aim assists or wall cheats, or both. Even third-party anti-cheat developers work more efficiently. A very low percentage of cheaters receive a VAC ban or at least temporary blocks. This is funny. Since last week, it seems like there are more cheaters in the game than regular players. Sad!",0.276,0.633,0.092,-0.9421,negative,1
Counter-Strike 2,FPS,CS2真好玩吧？休闲模式有片姐打广告，死斗跟搭档模式有挂箱机器人，官匹竞技和优先充斥着各种外挂客户端（毛子有巨大贡献）全员注入 绿玩被当球踢。国内的对战平台又有elo机制，再怎么c也赢不了(控制胜率这一块)，总之非常推荐来玩CS2👍,True,2026-05-09 17:36:32,schinese,69964,CS2真好玩吧 休闲模式有片姐打广告 死斗跟搭档模式有挂箱机器人 官匹竞技和优先充斥着各种外挂客户端 毛子有巨大贡献 全员注入 绿玩被当球踢 国内的对战平台又有elo机制 再怎么c也赢不了(控制胜率这一块) 总之非常推荐来玩CS2,schinese,"CS2 is really fun. The casual mode has movie girls advertising. The deathmatch and partner modes have box-mounted robots. The official competition and priority are full of various plug-in clients. Maozi has made a huge contribution. All the players have been injected. The green players are kicked out. The domestic battle platform also has the elo mechanism. You can't win no matter how c (controlling the winning rate). In short, it is highly recommended to play CS2",0.062,0.749,0.189,0.8589,positive,1
Counter-Strike 2,FPS,"[h3]Я ПОКЛОННИК COUNTER-STRIKE 2[/h3]

Да, у нее есть свои недостатки. Но у кого их нет? Это как ругаться на старую гитару с расстроенными струнами. Вроде и дребезжит, но сыграть легендарный риф всё равно можно. Игра прекрасна в своём хаосе. Её сообщество - это отдельный культ.

Отношение людей к игре напоминает мне анекдот про моряка:

Молодой моряк собирается в своё первое плавание. Приходит к капитану и просит совета, что с собой необходимо взять.

[u]Капитан говорит:[/u] 
[h3][i] - Ну, личные вещи, таблетки от тошноты и презервативы. [/i][/h3]
Побежал моряк в аптеку, купил 5 презервативов и 5 таблеток от тошноты.[h3][i] - Хватит?[/i][/h3] [u]Капитан говорит:[/u] 
[h3][i]  - Мы же надолго пойдем в море. Мало. [/i][/h3] 
Побежал еще раз и купил по 10 штук презервативов и таблеток.
[u]Капитан опять:[/u]
[h3][i] - Мало. [/i] [/h3]
Купил моряк по 100 презервативов и таблеток. 
[u]Тут аптекарь не выдержал и говорит:[/u] 
[h3][i] - Если тебя от нее тошнит, то зачем ты ее тр*хаешь?[/i][/h3]",True,2026-05-30 02:20:07,russian,5619,"h3 Я ПОКЛОННИК COUNTER-STRIKE 2 h3 Да, у нее есть свои недостатки. Но у кого их нет? Это как ругаться на старую гитару с расстроенными струнами. Вроде и дребезжит, но сыграть легендарный риф всё равно можно. Игра прекрасна в своём хаосе. Её сообщество - это отдельный культ. Отношение людей к игре напоминает мне анекдот про моряка Молодой моряк собирается в своё первое плавание. Приходит к капитану и просит совета, что с собой необходимо взять. u Капитан говорит u h3 i - Ну, личные вещи, таблетки от тошноты и презервативы. i h3 Побежал моряк в аптеку, купил 5 презервативов и 5 таблеток от тошноты. h3 i - Хватит? i h3 u Капитан говорит u h3 i - Мы же надолго пойдем в море. Мало. i h3 Побежал еще раз и купил по 10 штук презервативов и таблеток. u Капитан опять u h3 i - Мало. i h3 Купил моряк по 100 презервативов и таблеток. u Тут аптекарь не выдержал и говорит u h3 i - Если тебя от нее тошнит, то зачем ты ее тр хаешь? i h3",russian,"h3 I AM A FAN OF COUNTER-STRIKE 2 h3 Yes, it has its flaws. But who doesn't have them? It's like cursing at an old guitar with out-of-tune strings. It seems to be rattling, but you can still play the legendary riff. The game is beautiful in its chaos. Her community is a separate cult. People's attitude towards the game reminds me of a joke about a sailor: A young sailor is going on his first voyage. He comes to the captain and asks for advice on what to take with him. u The captain says u h3 i - Well, personal belongings, anti-nausea pills and condoms. i h3 The sailor ran to the pharmacy and bought 5 condoms and 5 anti-nausea pills. h3 i - Enough? i h3 u The captain says u h3 i - We will go to sea for a long time. Few. i h3 I ran again and bought 10 pieces of condoms and pills. u Captain again u h3 i - Not enough. i h3 The sailor bought 100 condoms and pills. u Here the pharmacist could not stand it and said u h3 i - If she makes you sick, then why are you fucking her? i h3",0.042,0.863,0.095,0.8766,positive,1
Counter-Strike 2,FPS,Nerede o 2017 cs go'nun tertemiz oyunu. Keyifli saatler oyunlar hepsi bitmiş.,False,2026-05-12 15:00:12,turkish,149131,Nerede o 2017 cs go'nun tertemiz oyunu. Keyifli saatler oyunlar hepsi bitmiş.,turkish,"Where is the immaculate game of 2017 CS GO? Enjoyable hours, games are all over.",0.0,0.828,0.172,0.4404,positive,0
Counter-Strike 2,FPS,"7 Gründe warum Winnie Puh ein
drogenverherrlichender
Film ist!

1. Dem Esel ist alles egal, total
langsam
und unmotiviert
=} Kiffer

2. Ferkel hat ständig Angst,
sieht Gespenster
und leidet unter Verfolgungswahn
=} Pilze

3. Rabbit will alles haben (""alles
meins, alles meins"")
und dazu die Riesen Nase
=} Kokser

4.Tigger springt nur herum, kann nicht
stillsitzen und
hüpft durch die Gegend
ohne müde zu werden
=} Exstasy

5.Christopher Robin kann mit Tieren
reden
=} LSD

6.Winnie Puh ist total
daneben, steht auf
Süßes und
seine Fantasie ist grenzenlos
=}Amphetamine

7. Und zu guter Letzt die Eule. Sie
hilft
immer wenn
jemand Probleme hat
=} der Dealer",True,2026-05-12 14:26:46,german,95657,"7 Gründe warum Winnie Puh ein drogenverherrlichender Film ist! 1. Dem Esel ist alles egal, total langsam und unmotiviert Kiffer 2. Ferkel hat ständig Angst, sieht Gespenster und leidet unter Verfolgungswahn Pilze 3. Rabbit will alles haben (""alles meins, alles meins"") und dazu die Riesen Nase Kokser 4.Tigger springt nur herum, kann nicht stillsitzen und hüpft durch die Gegend ohne müde zu werden Exstasy 5.Christopher Robin kann mit Tieren reden LSD 6.Winnie Puh ist total daneben, steht auf Süßes und seine Fantasie ist grenzenlos Amphetamine 7. Und zu guter Letzt die Eule. Sie hilft immer wenn jemand Probleme hat der Dealer",german,"7 reasons why Winnie the Pooh is a drug-glorifying film! 1. The donkey doesn't care about anything, totally slow and unmotivated stoner 2. Piglet is constantly afraid, sees ghosts and suffers from paranoia Mushrooms 3. Rabbit wants to have everything (""everything is mine, everything mine"") and also has a giant nose for coke 4.Tigger just jumps around, can't sit still and hops around without getting tired Exstasy 5.Christopher Robin can talk to animals LSD 6.Winnie Phew is totally wrong, loves sweets and his imagination is limitless. Amphetamines 7. And last but not least, the owl. She always helps the dealer when someone has problems",0.113,0.803,0.084,-0.3422,negative,0
