game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Deep Rock Galactic,Cok_Oyunculu,"top 5 reasons to play deep rock galactic:

Maps always feel different. 
You can drink beer.
You can pass out from drinking too much beer. 
You can play flappy bird. 
You can find jet boots in some games. Yes jet boots. Dwarf will fly. 


Honorable mention: the OST SLAPS

also, rock and stone!",True,2026-05-15 11:20:25,english,5191,"top 5 reasons to play deep rock galactic Maps always feel different. You can drink beer. You can pass out from drinking too much beer. You can play flappy bird. You can find jet boots in some games. Yes jet boots. Dwarf will fly. Honorable mention the OST SLAPS also, rock and stone!",english,"top 5 reasons to play deep rock galactic Maps always feel different. You can drink beer. You can pass out from drinking too much beer. You can play flappy bird. You can find jet boots in some games. Yes jet boots. Dwarf will fly. Honorable mention the OST SLAPS also, rock and stone!",0.0,0.786,0.214,0.902,positive,1
Deep Rock Galactic,Cok_Oyunculu,"我说这是北欧游戏里双亲最健康、家庭最团圆、未来最光明的游戏👍肥鲨箭头安东尼这些牲畜但凡学习一下贵工作室的经验也不至于这么sm

二编：这108的异动核心究竟是何出怎样意味😓咖啡污渍你赢了",True,2026-05-14 14:57:39,schinese,15068,我说这是北欧游戏里双亲最健康 家庭最团圆 未来最光明的游戏 肥鲨箭头安东尼这些牲畜但凡学习一下贵工作室的经验也不至于这么sm 二编 这108的异动核心究竟是何出怎样意味 咖啡污渍你赢了,schinese,"I say this is the game with the healthiest parents, the most reunited family, and the brightest future among the Nordic games. Beasts like Fat Shark Arrow Anthony wouldn’t be so smug if they could learn from your studio’s experience. Editor 2 What exactly does this 108 change core mean? Coffee stains, you win.",0.0,0.798,0.202,0.913,positive,1
Deep Rock Galactic,Cok_Oyunculu,"I didn't fully understand this game when I first picked it up around its early access release. It sat forgotten in my library for a good year or two after that, gathering dust and honestly, I didn't even think about it. 

When I decided one day to try it out again I was shocked at why I didn't stick with the game the first time around. DRG has been like crack cocaine for me — the gameplay loop, weapons and gear customisation, enemy and mission variety — it has SO much content and SO much going on. 

The best thing by far about this game is its community though. I remember starting as a greenbeard and finding lobbies with veterans who patiently guided me and assisted me for hours on end. Now, after 900 hours I find myself returning the favour to newer players. It doesn't feel like a task or a chore, it brings genuine joy to help the community of a game that has helped me. 

Deep Rock Galactic is likely my favourite game of all time and I highly recommend this to anyone looking for a chill and friendly community and often chaotic missions full of adrenaline and pure fun.",True,2026-05-20 02:02:30,english,55161,"I didn't fully understand this game when I first picked it up around its early access release. It sat forgotten in my library for a good year or two after that, gathering dust and honestly, I didn't even think about it. When I decided one day to try it out again I was shocked at why I didn't stick with the game the first time around. DRG has been like crack cocaine for me the gameplay loop, weapons and gear customisation, enemy and mission variety it has SO much content and SO much going on. The best thing by far about this game is its community though. I remember starting as a greenbeard and finding lobbies with veterans who patiently guided me and assisted me for hours on end. Now, after 900 hours I find myself returning the favour to newer players. It doesn't feel like a task or a chore, it brings genuine joy to help the community of a game that has helped me. Deep Rock Galactic is likely my favourite game of all time and I highly recommend this to anyone looking for a chill and friendly community and often chaotic missions full of adrenaline and pure fun.",english,"I didn't fully understand this game when I first picked it up around its early access release. It sat forgotten in my library for a good year or two after that, gathering dust and honestly, I didn't even think about it. When I decided one day to try it out again I was shocked at why I didn't stick with the game the first time around. DRG has been like crack cocaine for me the gameplay loop, weapons and gear customisation, enemy and mission variety it has SO much content and SO much going on. The best thing by far about this game is its community though. I remember starting as a greenbeard and finding lobbies with veterans who patiently guided me and assisted me for hours on end. Now, after 900 hours I find myself returning the favour to newer players. It doesn't feel like a task or a chore, it brings genuine joy to help the community of a game that has helped me. Deep Rock Galactic is likely my favourite game of all time and I highly recommend this to anyone looking for a chill and friendly community and often chaotic missions full of adrenaline and pure fun.",0.069,0.797,0.135,0.9467,positive,1
Deep Rock Galactic,Cok_Oyunculu,"Под пиво пойдет, желательно в компании друзей. Разработчик не стал париться и уже 5ый сезон выпускает одни ""Шляпы"". Игра неплоха на 100ч далее одно повторение и никакого развития, получение новых рангов и уровней никак не влияют на развитие персонажа. В игре есть ""Древо прокачки"" но его не развивают и не трогали с релиза игры, на данный момент у меня 130~ нераспределенных очков прокачки которые некуда потратить... Стоит ли играть в нее в 2026? Стоит но в компании друзей.",True,2026-05-09 19:04:34,russian,25879,"Под пиво пойдет, желательно в компании друзей. Разработчик не стал париться и уже 5ый сезон выпускает одни ""Шляпы"". Игра неплоха на 100ч далее одно повторение и никакого развития, получение новых рангов и уровней никак не влияют на развитие персонажа. В игре есть ""Древо прокачки"" но его не развивают и не трогали с релиза игры, на данный момент у меня 130 нераспределенных очков прокачки которые некуда потратить... Стоит ли играть в нее в 2026? Стоит но в компании друзей.",russian,"Go with a beer, preferably in the company of friends. The developer did not bother and has been releasing only “Hats” for the 5th season. The game is not bad for 100 hours, then one repetition and no development, gaining new ranks and levels does not affect the development of the character in any way. The game has a ""Pumping Tree"" but it hasn't been developed and hasn't been touched since the game's release. At the moment I have 130 unallocated pumping points that have nowhere to spend... Is it worth playing in 2026? Worth it but in the company of friends.",0.029,0.824,0.147,0.9057,positive,1
Deep Rock Galactic,Cok_Oyunculu,"Меня избили, обоссали и изнасиловали дворфы, а потом я зашел в игру
Однозначно рекомендую!!!",True,2026-05-17 16:27:06,russian,3370,"Меня избили, обоссали и изнасиловали дворфы, а потом я зашел в игру Однозначно рекомендую!!!",russian,"I was beaten, pissed on and raped by dwarves, and then I went into the game. Definitely recommend!!!",0.407,0.424,0.17,-0.851,negative,0
Deep Rock Galactic,Cok_Oyunculu,игра заебись я без выходных без зарплаты без паспорта копаю ложками угольные родники потом возвращаюсь домой даю жене по ебалу и захожу в дипрок,True,2026-05-15 18:58:32,russian,2063,игра заебись я без выходных без зарплаты без паспорта копаю ложками угольные родники потом возвращаюсь домой даю жене по ебалу и захожу в дипрок,russian,"game fuck me, no days off, no salary, no passport, I dig coal springs with spoons, then I return home, give my wife a hard time, and go into the deeprock.",0.25,0.699,0.051,-0.7515,negative,0
Deep Rock Galactic,Cok_Oyunculu,"嘿！矿工！我就知道你会回来，RC首发暴雷，服务器爆炸+EA高定价+高ping+抢构筑+局内压力大+野排不舒服。我说真正且最朴实纯粹的玩家才是最好的宣传，那些铺天盖地的博主宣传不如纯粹玩家的一席话，孩子们，快回老深岩挖矿吧，RC不是精英矮人待的地方，而是强敌科技待的地方。听我一句劝，那么多联机的肉鸽，为什么不去试试和朋友一起打《雨中冒险2》呢？而且这类超长构筑的肉鸽fps游戏，玩久的很累的。老深岩轻轻松松一把半个小时不到结束游戏。
而且还有优化极烂的虚幻5加持，我说RC刷潮+全高特效能有120fps不卡，那就真6了。
（不要说是显卡不行，游戏厂商优化好再来说话）
所以说鬼船你能不能长点心？老老实实回归最朴实的DRG，叫隔壁鬼墙去更RC算了。
差评是给鬼墙的，好评给不了了，自己看看S6做的什么东西。不想做可以不做。",False,2026-05-20 17:44:15,schinese,5259,嘿 矿工 我就知道你会回来 RC首发暴雷 服务器爆炸 EA高定价 高ping 抢构筑 局内压力大 野排不舒服 我说真正且最朴实纯粹的玩家才是最好的宣传 那些铺天盖地的博主宣传不如纯粹玩家的一席话 孩子们 快回老深岩挖矿吧 RC不是精英矮人待的地方 而是强敌科技待的地方 听我一句劝 那么多联机的肉鸽 为什么不去试试和朋友一起打 雨中冒险2 呢 而且这类超长构筑的肉鸽fps游戏 玩久的很累的 老深岩轻轻松松一把半个小时不到结束游戏 而且还有优化极烂的虚幻5加持 我说RC刷潮 全高特效能有120fps不卡 那就真6了 不要说是显卡不行 游戏厂商优化好再来说话 所以说鬼船你能不能长点心 老老实实回归最朴实的DRG 叫隔壁鬼墙去更RC算了 差评是给鬼墙的 好评给不了了 自己看看S6做的什么东西 不想做可以不做,schinese,"Hey miner, I knew you would come back. RC started with thunderstorms, server explosion, EA high pricing, high ping, rush to build, high pressure in the game, uncomfortable rowing in the wild. I say that the real and most simple and pure players are the best publicity. Those overwhelming bloggers’ publicity is not as good as the words of pure players. Children, go back to the old deep rock to mine. RC is not a place for elite dwarves, but a place for powerful enemy technology. Listen to my advice. There are so many online meat pigeons. Why don't you try playing Risk of Rain 2 with your friends? Moreover, this kind of super-long FPS game is very tiring to play for a long time. Lao Shenyan can easily play it for half an hour and the game is not over in half an hour. It is also blessed by the extremely poorly optimized Unreal 5. I said RC is booming. It has 120fps without lag at full high special performance. It is really 6. Don't say that the graphics card is not good. The game manufacturer will optimize it and then talk about it. So can you be more careful about Ghost Ship? Let’s return to the simplest DRG honestly. Let’s just ask the ghost wall next door to update the RC. The bad reviews are for the ghost wall. I can’t give good reviews. Take a look at what S6 makes. If you don’t want to do it, you don’t have to do it.",0.1,0.733,0.167,0.9745,positive,1
Deep Rock Galactic,Cok_Oyunculu,"So much better then the Dumpster Fire that is Helldivers 2

(Edit if helldivers 2 gameplay Improves then I can play that game again, but for now Rocking and Stoning it is)

(edit 2 Actually Helldivers 2 is not that bad, guess I was listening to Doomer's to much)",True,2026-05-10 00:45:36,english,4077,"So much better then the Dumpster Fire that is Helldivers 2 (Edit if helldivers 2 gameplay Improves then I can play that game again, but for now Rocking and Stoning it is) (edit 2 Actually Helldivers 2 is not that bad, guess I was listening to Doomer's to much)",english,"So much better then the Dumpster Fire that is Helldivers 2 (Edit if helldivers 2 gameplay Improves then I can play that game again, but for now Rocking and Stoning it is) (edit 2 Actually Helldivers 2 is not that bad, guess I was listening to Doomer's to much)",0.054,0.775,0.171,0.7554,positive,1
Deep Rock Galactic,Cok_Oyunculu,"Это не та игра где ты наиграешь 1000 часов за год.
Но это та игра в которую ты будешь возвращаться год за годом.
🤘Rock and Stone! ⛏",True,2026-05-16 16:47:53,russian,5817,Это не та игра где ты наиграешь 1000 часов за год. Но это та игра в которую ты будешь возвращаться год за годом. Rock and Stone!,russian,This is not a game where you will play 1000 hours in a year. But this is the game that you will return to year after year. Rock and Stone!,0.0,0.936,0.064,0.2481,positive,1
Deep Rock Galactic,Cok_Oyunculu,"Deep Rock Galactic has to be one of the best co-op games ever made, here is what I liked:

Positives:
- Memorable characters.
- Goofy vibes.
- Rewarding cooperation and progression.
- Lots of content.
- Fun movement and combat.
- One of, if not the best implementation of a season pass.
- Rock and stone!

There are no significant negatives about the game, so the negatives section will be skipped.

I give it a score of 5/5.",True,2026-05-21 20:02:14,english,91766,"Deep Rock Galactic has to be one of the best co-op games ever made, here is what I liked Positives - Memorable characters. - Goofy vibes. - Rewarding cooperation and progression. - Lots of content. - Fun movement and combat. - One of, if not the best implementation of a season pass. - Rock and stone! There are no significant negatives about the game, so the negatives section will be skipped. I give it a score of 5 5.",english,"Deep Rock Galactic has to be one of the best co-op games ever made, here is what I liked Positives - Memorable characters. - Goofy vibes. - Rewarding cooperation and progression. - Lots of content. - Fun movement and combat. - One of, if not the best implementation of a season pass. - Rock and stone! There are no significant negatives about the game, so the negatives section will be skipped. I give it a score of 5 5.",0.077,0.741,0.182,0.9008,positive,1
