game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match,categories,categories_str,category_count,cat_performans,cat_teknik_sorun,cat_fiyat,cat_hikaye_icerik,cat_oynanabilirlik,cat_cok_oyunculu,cat_destek_guncelleme,cat_gorsel_ses,cat_diger
Elden Ring,RPG,"Когда Миядзаки били в детстве, ремнем замахивались с задержкой чтобы он не увернулся, это все знают. Но мало кто знает продолжение этой великой истории.
Однажды Миядзаки адаптировался к этому, заучил все возможные фреймы ремня, и больше не получал урон. Но его отец не растерялся, и потратил 2 года на то, чтобы снова удивить своего любимого сына. Теперь он наносил в 10 раз больше урона ремнем, прыгал как угорелый по всей комнате, а так же использовал быстрые комбинации ударов (в перемешку со старыми добрыми задержками), от чего глаза Миядзаки не успевали фокусироваться на нем. Но отец знал что одного этого мало, чтобы удивить сына, поэтому теперь его ремень всегда наносил урон по области, на случай если сын захочет перекатиться ему за спину. И даже когда Миядзаки думал что в безопасности сможет попить свою бутылочку фанты, атака ремнем доставала его через всю комнату.
Эта воспоминания так сильно вдохновили Миядзаки, что он посвятил этому целое DLC к своей игре Elden Ring.",True,2026-05-18 23:11:23,russian,6511,"Когда Миядзаки били в детстве, ремнем замахивались с задержкой чтобы он не увернулся, это все знают. Но мало кто знает продолжение этой великой истории. Однажды Миядзаки адаптировался к этому, заучил все возможные фреймы ремня, и больше не получал урон. Но его отец не растерялся, и потратил 2 года на то, чтобы снова удивить своего любимого сына. Теперь он наносил в 10 раз больше урона ремнем, прыгал как угорелый по всей комнате, а так же использовал быстрые комбинации ударов (в перемешку со старыми добрыми задержками), от чего глаза Миядзаки не успевали фокусироваться на нем. Но отец знал что одного этого мало, чтобы удивить сына, поэтому теперь его ремень всегда наносил урон по области, на случай если сын захочет перекатиться ему за спину. И даже когда Миядзаки думал что в безопасности сможет попить свою бутылочку фанты, атака ремнем доставала его через всю комнату. Эта воспоминания так сильно вдохновили Миядзаки, что он посвятил этому целое DLC к своей игре Elden Ring.",russian,"When Miyazaki was beaten as a child, the belt was swung with a delay so that he would not dodge, everyone knows this. But few people know the continuation of this great story. One day Miyazaki adapted to this, learned all possible belt frames, and no longer took damage. But his father was not at a loss, and spent 2 years trying to surprise his beloved son again. Now he was doing 10 times more damage with the belt, jumping like crazy around the room, and also using quick combinations of punches (mixed with good old delays), which made Miyazaki's eyes have no time to focus on him. But the father knew that this alone was not enough to surprise his son, so now his belt always dealt damage in an area, in case his son wanted to roll behind his back. And even when Miyazaki thought he could safely drink his bottle of Fanta, the attack with the belt took him across the room. This memory inspired Miyazaki so much that he dedicated an entire DLC to his game Elden Ring to it.",0.148,0.698,0.153,0.6393,positive,1,"['fiyat', 'hikaye_icerik']",fiyat|hikaye_icerik,2,0,0,1,1,0,0,0,0,0
Elden Ring,RPG,"The ultimate GAMING experience! Honestly, this is one of those cases where writing a review feels unnecessary because words simply can't do it justice.

I hadn’t bought a Collector’s Edition in a long time, but even before this game came out, I knew I had to get the CE of Elden Ring.

The game is perfect, and it belongs in the category of “you absolutely have to play this before you die.” If I really had to mention a negative, it would probably be the reused enemies, which are the game’s biggest flaw. But the gameplay, exploration, and boss fights are all masterclass level! (ER has the weakest PvP among the Souls games, but it's still fun.)

I've been a huge fan of FromSoftware since 2011, and I can confidently say they're the best developers in the industry. 

Perfection.",True,2026-05-20 09:55:54,english,61924,"The ultimate GAMING experience! Honestly, this is one of those cases where writing a review feels unnecessary because words simply can't do it justice. I hadn t bought a Collector s Edition in a long time, but even before this game came out, I knew I had to get the CE of Elden Ring. The game is perfect, and it belongs in the category of you absolutely have to play this before you die. If I really had to mention a negative, it would probably be the reused enemies, which are the game s biggest flaw. But the gameplay, exploration, and boss fights are all masterclass level! (ER has the weakest PvP among the Souls games, but it's still fun.) I've been a huge fan of FromSoftware since 2011, and I can confidently say they're the best developers in the industry. Perfection.",english,"The ultimate GAMING experience! Honestly, this is one of those cases where writing a review feels unnecessary because words simply can't do it justice. I hadn t bought a Collector s Edition in a long time, but even before this game came out, I knew I had to get the CE of Elden Ring. The game is perfect, and it belongs in the category of you absolutely have to play this before you die. If I really had to mention a negative, it would probably be the reused enemies, which are the game s biggest flaw. But the gameplay, exploration, and boss fights are all masterclass level! (ER has the weakest PvP among the Souls games, but it's still fun.) I've been a huge fan of FromSoftware since 2011, and I can confidently say they're the best developers in the industry. Perfection.",0.13,0.665,0.205,0.9354,positive,1,"['hikaye_icerik', 'oynanabilirlik', 'cok_oyunculu', 'destek_guncelleme']",hikaye_icerik|oynanabilirlik|cok_oyunculu|destek_guncelleme,4,0,0,0,1,1,1,1,0,0
Elden Ring,RPG,"é um jogo bom, mas chegando perto das duas mil horas fica só mais umas 15 build pra testar, podiam ter colocado mais conteúdo",True,2026-05-17 23:09:46,brazilian,122215,"é um jogo bom, mas chegando perto das duas mil horas fica só mais umas 15 build pra testar, podiam ter colocado mais conteúdo",brazilian,"It's a good game, but getting close to two thousand hours there's only about 15 more builds to test, they could have added more content",0.0,0.925,0.075,0.2382,positive,1,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Elden Ring,RPG,"说实在的，我完全不懂，为什么法环里面这些NPC也依旧是没有善终的。
你要是说黑魂系列，火要灭了，大家都得完蛋，世界马上要完蛋了。这种末世背景下，大家都很惨那很正常。
但是交界地有到这种程度吗？交界地的事说白了就是玛丽卡这一家打内战。可以说说是乱世，但完全不到灭世的地步。这样的世界观下，居然NPC也基本没有好的结局。
柯林疯了，d和他的孪生兄弟死了，菲雅死了，罗杰尔死了，铁匠修古也要死了，罗德莉卡好不容易脱离了接肢的命运，还不容易走上自己作为调灵师的道路，居然要留在圆桌和修谷一起赴死。就连解指婆婆恩雅，最支持我们的人，也随着死亡卢恩的释放死去了。整个大赐福的人几乎死光了，唯一幸终的是涅斐丽，甚至成为了史东薇尔新王。
再说其他NPC，对我们最好的魔法老师瑟濂，明明都已经重返学院，要重兴源流了，却化作魔法师球了。米莉森自杀了，虾哥被食粪者诅咒，拉雅要带着被整个交界地歧视的蛇人的身份，孤独的活下去。布莱德，伊吉，他们都死了。亚历山大明明已经成为强者，却还是输掉了和我们的决斗，破碎了。霍斯劳放弃了成为英雄的愿望，却死在了壶村。
巨人山顶上，梅琳娜牺牲自己点燃了黄金树。
也许三指真的是对的。",True,2026-05-20 14:24:48,schinese,6922,说实在的 我完全不懂 为什么法环里面这些NPC也依旧是没有善终的 你要是说黑魂系列 火要灭了 大家都得完蛋 世界马上要完蛋了 这种末世背景下 大家都很惨那很正常 但是交界地有到这种程度吗 交界地的事说白了就是玛丽卡这一家打内战 可以说说是乱世 但完全不到灭世的地步 这样的世界观下 居然NPC也基本没有好的结局 柯林疯了 d和他的孪生兄弟死了 菲雅死了 罗杰尔死了 铁匠修古也要死了 罗德莉卡好不容易脱离了接肢的命运 还不容易走上自己作为调灵师的道路 居然要留在圆桌和修谷一起赴死 就连解指婆婆恩雅 最支持我们的人 也随着死亡卢恩的释放死去了 整个大赐福的人几乎死光了 唯一幸终的是涅斐丽 甚至成为了史东薇尔新王 再说其他NPC 对我们最好的魔法老师瑟濂 明明都已经重返学院 要重兴源流了 却化作魔法师球了 米莉森自杀了 虾哥被食粪者诅咒 拉雅要带着被整个交界地歧视的蛇人的身份 孤独的活下去 布莱德 伊吉 他们都死了 亚历山大明明已经成为强者 却还是输掉了和我们的决斗 破碎了 霍斯劳放弃了成为英雄的愿望 却死在了壶村 巨人山顶上 梅琳娜牺牲自己点燃了黄金树 也许三指真的是对的,schinese,"To be honest, I don't understand why these NPCs in the Ring of Magic still don't have a happy ending. If you talk about the Dark Souls series, the fire is going out, everyone has to die, and the world is about to end. In this apocalyptic background, it is normal for everyone to be miserable, but is it to this extent in the junction? To put it bluntly, the things in the junction are Marika's family fighting a civil war. It can be said to be a troubled world, but it is not at all the level of annihilation. In such a world view, there are basically no good endings for NPCs. Colin is crazy. d and his twin brother are dead, Feiya is dead, Roger is dead, and the blacksmith Xiugu is also going to die. Roderica finally escaped the fate of having a limb, and it is not easy for her to embark on her own path as a spirit adjuster. She actually has to stay at the Round Table and die with Xiugu. Even Enya, the mother-in-law who supported us the most, also died with the release of the death rune. Almost all the people in the Great Blessing died, and the only one who died happily was Neferi. He even became the new king of Stonewell. Not to mention that other NPCs were jealous of our best magic teacher. He had obviously returned to the academy to revive the source, but turned into a magician ball. Millicent committed suicide. Brother Shrimp was cursed by the coprophagous man. Raya wanted to live alone as a snake-man who was discriminated against by the entire border. Brad, Iggy, they were all dead. Alexander had become a strong man, but he still lost the duel with us. It was broken. Khosrow gave up his desire to become a hero but died in the Pot Village on the top of Giant Mountain. Melina sacrificed herself to light the golden tree. Maybe Three Fingers was really right.",0.247,0.647,0.106,-0.9971,negative,0,"['teknik_sorun', 'hikaye_icerik']",teknik_sorun|hikaye_icerik,2,0,1,0,1,0,0,0,0,0
Elden Ring,RPG,"This game is very addictive and it is huge! It took me 275 hours to play and now I have started the DLC. One of the best games I have ever played, and I have been playing games for 50 years!",True,2026-05-20 05:14:37,english,18106,"This game is very addictive and it is huge! It took me 275 hours to play and now I have started the DLC. One of the best games I have ever played, and I have been playing games for 50 years!",english,"This game is very addictive and it is huge! It took me 275 hours to play and now I have started the DLC. One of the best games I have ever played, and I have been playing games for 50 years!",0.0,0.725,0.275,0.9133,positive,1,"['fiyat', 'oynanabilirlik']",fiyat|oynanabilirlik,2,0,0,1,0,1,0,0,0,0
Elden Ring,RPG,"Первая соулс игра, которую я осилил. Карта большая, локации красивые, а боссы дарят эмоции. Интереснее всего было встречать нпс в мире, узнавать их историю и возможно стать свидетелем их конца. Спасибо человеку который посоветовал мне эту игру.",True,2026-05-10 16:04:40,russian,6960,"Первая соулс игра, которую я осилил. Карта большая, локации красивые, а боссы дарят эмоции. Интереснее всего было встречать нпс в мире, узнавать их историю и возможно стать свидетелем их конца. Спасибо человеку который посоветовал мне эту игру.",russian,"The first souls game I mastered. The map is large, the locations are beautiful, and the bosses give emotions. The most interesting thing was meeting NPCs in the world, learning their history and possibly witnessing their end. Thanks to the person who recommended this game to me.",0.0,0.788,0.212,0.8908,positive,1,['gorsel_ses'],gorsel_ses,1,0,0,0,0,0,0,0,1,0
Elden Ring,RPG,开放世界魂游玩起来太累了，不看攻略感觉体验挺一般的。想二刷但是完全没有打开游戏的动力,True,2026-05-16 15:49:56,schinese,5685,开放世界魂游玩起来太累了 不看攻略感觉体验挺一般的 想二刷但是完全没有打开游戏的动力,schinese,"The open world Souls game is too tiring to play. Without reading the guide, the experience feels quite average. I want to play the game again but I have no motivation to open the game.",0.067,0.811,0.122,0.033,neutral,0,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Elden Ring,RPG,"[h3]A generational game, but not without flaws[/h3]

To preface this review: my only experience with any souls-like was 'The First Berserker: Khazan', and I never finished it.
Actually, I almost never finished Elden Ring either. A few hours in, and I was ready to quit, but the sheer number of players glazing this game was bugging me. ""What do they see, that i dont?''
I couldn't tell you exactly when I found my answer; it was more of a gradual experience. But I do now understand, even if I don't fully agree.

The [b][i]world[/i][/b] that's built here is amazing. The ambience and overall vibes made me feel like this was a living, breathing realm full of despair and danger. Even without many cut scenes, I could still grasp the severity and gravity of the events that had taken place. (even if most of the time i had no idea what was happening in the story)

The [b][i]combat[/i][/b], while at times was a little frustrating, is still one of its best features. The build diversity and scope are something special that I can't really find a comparison to in anything else I've played before it. 
The bosses, too, were imaginative and challenging, and more than a few times I found myself jumping out of my seat and slamming my desk in excitement after I defeated them.

There's more I could praise, but I won't, because so many reviews have already done that. So instead ill bring up a few of the [b][i]negatives[/i][/b] that i dont see mentioned very often.
The target locking in this game is dreadful. I swear I died more times to this than actual bosses. It's mostly fine when you have a single enemy to deal with, but as soon as there are multiple targets, it fails miserably.
The other massive flaw I feel this game has is with its in-game systems/mechanics. I can't think of a single game I've ever played that required me to tab out and Google as many times as this. It really was ridiculous. There is just so much that isn't explained or explained well, and most players will miss out on a lot of content or waste a lot of time without Alt-tabbing and turning to guides. 

Overall though, I'm happy I put the time in and finished it. It was a great adventure.

⠀",True,2026-05-31 11:33:59,english,5037,"h3 A generational game, but not without flaws h3 To preface this review my only experience with any souls-like was 'The First Berserker Khazan', and I never finished it. Actually, I almost never finished Elden Ring either. A few hours in, and I was ready to quit, but the sheer number of players glazing this game was bugging me. ""What do they see, that i dont?'' I couldn't tell you exactly when I found my answer it was more of a gradual experience. But I do now understand, even if I don't fully agree. The b i world i b that's built here is amazing. The ambience and overall vibes made me feel like this was a living, breathing realm full of despair and danger. Even without many cut scenes, I could still grasp the severity and gravity of the events that had taken place. (even if most of the time i had no idea what was happening in the story) The b i combat i b , while at times was a little frustrating, is still one of its best features. The build diversity and scope are something special that I can't really find a comparison to in anything else I've played before it. The bosses, too, were imaginative and challenging, and more than a few times I found myself jumping out of my seat and slamming my desk in excitement after I defeated them. There's more I could praise, but I won't, because so many reviews have already done that. So instead ill bring up a few of the b i negatives i b that i dont see mentioned very often. The target locking in this game is dreadful. I swear I died more times to this than actual bosses. It's mostly fine when you have a single enemy to deal with, but as soon as there are multiple targets, it fails miserably. The other massive flaw I feel this game has is with its in-game systems mechanics. I can't think of a single game I've ever played that required me to tab out and Google as many times as this. It really was ridiculous. There is just so much that isn't explained or explained well, and most players will miss out on a lot of content or waste a lot of time without Alt-tabbing and turning to guides. Overall though, I'm happy I put the time in and finished it. It was a great adventure.",english,"h3 A generational game, but not without flaws h3 To preface this review my only experience with any souls-like was 'The First Berserker Khazan', and I never finished it. Actually, I almost never finished Elden Ring either. A few hours in, and I was ready to quit, but the sheer number of players glazing this game was bugging me. ""What do they see, that i dont?'' I couldn't tell you exactly when I found my answer it was more of a gradual experience. But I do now understand, even if I don't fully agree. The b i world i b that's built here is amazing. The ambience and overall vibes made me feel like this was a living, breathing realm full of despair and danger. Even without many cut scenes, I could still grasp the severity and gravity of the events that had taken place. (even if most of the time i had no idea what was happening in the story) The b i combat i b , while at times was a little frustrating, is still one of its best features. The build diversity and scope are something special that I can't really find a comparison to in anything else I've played before it. The bosses, too, were imaginative and challenging, and more than a few times I found myself jumping out of my seat and slamming my desk in excitement after I defeated them. There's more I could praise, but I won't, because so many reviews have already done that. So instead ill bring up a few of the b i negatives i b that i dont see mentioned very often. The target locking in this game is dreadful. I swear I died more times to this than actual bosses. It's mostly fine when you have a single enemy to deal with, but as soon as there are multiple targets, it fails miserably. The other massive flaw I feel this game has is with its in-game systems mechanics. I can't think of a single game I've ever played that required me to tab out and Google as many times as this. It really was ridiculous. There is just so much that isn't explained or explained well, and most players will miss out on a lot of content or waste a lot of time without Alt-tabbing and turning to guides. Overall though, I'm happy I put the time in and finished it. It was a great adventure.",0.122,0.755,0.123,0.1243,positive,1,"['hikaye_icerik', 'oynanabilirlik']",hikaye_icerik|oynanabilirlik,2,0,0,0,1,1,0,0,0,0
Elden Ring,RPG,"entre no jogo;
se perca msm ja tendo platinado ele em outra plataforma;
dê de cara com um boss que vc nem sabia q existia;
fique 2 horas nele até finalmente conseguir derrota-lo;
repita esse processo apenas 238 vezes e vc zerou o jogo;
absolute video game, o único problema é q te deixara mal acostumado e nenhum outro jogo vai conseguir preencher o vazio q ele deixou dentro de vc.",True,2026-05-18 00:21:18,brazilian,2109,"entre no jogo se perca msm ja tendo platinado ele em outra plataforma dê de cara com um boss que vc nem sabia q existia fique 2 horas nele até finalmente conseguir derrota-lo repita esse processo apenas 238 vezes e vc zerou o jogo absolute video game, o único problema é q te deixara mal acostumado e nenhum outro jogo vai conseguir preencher o vazio q ele deixou dentro de vc.",brazilian,"enter the game, get lost even though you've already platinumized it on another platform, come face to face with a boss you didn't even know existed, spend 2 hours on it until you finally manage to defeat it, repeat this process just 238 times and you've beaten the absolute video game, the only problem is that it will make you unaccustomed and no other game will be able to fill the void it left inside you.",0.155,0.845,0.0,-0.9001,negative,0,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Elden Ring,RPG,"Bonne introduction aux Souls, qui fut pour moi une première relativement longue et prenante, mais réalisable. 

La recette reste la même : une sacrée famille dysfonctionnelle, un feu à raviver et cette fatidique question : faut-il réparer un monde déjà brisé ? 
Elden Ring reprend les mécaniques et l'esthétique de ses prédécesseurs dans une cartographie inédite, où l'immensité de l'Entre-Terre laisse libre cours à l'exploration. 

300 heures et 300 murs frappés plus tard, je considère que c'était (vraiment) mémorable.",True,2026-05-14 19:46:19,french,18332,"Bonne introduction aux Souls, qui fut pour moi une première relativement longue et prenante, mais réalisable. La recette reste la même une sacrée famille dysfonctionnelle, un feu à raviver et cette fatidique question faut-il réparer un monde déjà brisé ? Elden Ring reprend les mécaniques et l'esthétique de ses prédécesseurs dans une cartographie inédite, où l'immensité de l'Entre-Terre laisse libre cours à l'exploration. 300 heures et 300 murs frappés plus tard, je considère que c'était (vraiment) mémorable.",french,"Good introduction to Souls, which was a relatively long and demanding first time for me, but achievable. The recipe remains the same: one hell of a dysfunctional family, a fire to rekindle and this fateful question: should we repair an already broken world? Elden Ring takes up the mechanics and aesthetics of its predecessors in a new cartography, where the immensity of Inter-Earth gives free rein to exploration. 300 hours and 300 wall hits later, I consider it (really) memorable.",0.153,0.729,0.118,-0.6597,negative,0,"['teknik_sorun', 'oynanabilirlik']",teknik_sorun|oynanabilirlik,2,0,1,0,0,1,0,0,0,0
