game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match,categories,categories_str,category_count,cat_performans,cat_teknik_sorun,cat_fiyat,cat_hikaye_icerik,cat_oynanabilirlik,cat_cok_oyunculu,cat_destek_guncelleme,cat_gorsel_ses,cat_diger
Stardew Valley,Simulasyon,"妈妈，人生要是星露谷就好了，没有无奈与绝望，种子种在地上就会成熟，钓鱼永远不会空军，想要什么就自己去争取，每一份努力都会有收获。
妈妈，人生要是星露谷就好了，没有自卑和内耗，你喜欢的人最后也会喜欢你，浪漫和梦想相互交织，你要对抗的只有时间。
妈妈，人生要是星露谷就好了，我可以拥有很多朋友，还有关心我的长辈，永远没有焦虑和煎熬，活在农场的每一秒都是自我价值的实现，就算只是砍树那也是充实的一天。
可是妈妈，我把农场打理的井井有条，和所有人都成为了好朋友，取到了我心爱的妻子，打穿了地下的矿井，学会了祝尼魔的语言，甚至通关了草原之王和祝尼魔赛车，为什么做到这种地步，到头来我也只能一直在一个小房间里打转呢，人生要是星露谷就好了。",True,2026-05-13 11:16:46,schinese,60489,妈妈 人生要是星露谷就好了 没有无奈与绝望 种子种在地上就会成熟 钓鱼永远不会空军 想要什么就自己去争取 每一份努力都会有收获 妈妈 人生要是星露谷就好了 没有自卑和内耗 你喜欢的人最后也会喜欢你 浪漫和梦想相互交织 你要对抗的只有时间 妈妈 人生要是星露谷就好了 我可以拥有很多朋友 还有关心我的长辈 永远没有焦虑和煎熬 活在农场的每一秒都是自我价值的实现 就算只是砍树那也是充实的一天 可是妈妈 我把农场打理的井井有条 和所有人都成为了好朋友 取到了我心爱的妻子 打穿了地下的矿井 学会了祝尼魔的语言 甚至通关了草原之王和祝尼魔赛车 为什么做到这种地步 到头来我也只能一直在一个小房间里打转呢 人生要是星露谷就好了,schinese,"Mom, it would be great if life were like Stardew Valley. There would be no helplessness and despair. Seeds planted on the ground will mature. Fishing will never be an air force. Go for what you want. Every effort will be rewarded. Mom, it would be great if life could be Stardew Valley. There would be no inferiority and internal friction. The person you like will also like you in the end. Romance and dreams are intertwined. All you have to fight against is time. Mom, it would be great if life was Stardew Valley. I can have many friends and elders who care about me. There will never be anxiety and suffering. Every second of living on the farm is a realization of self-worth. Even if I just cut down trees, it is a fulfilling day. But mom, I took care of the farm in an orderly manner and became good friends with everyone. I got my beloved wife, drilled through the underground mines, learned the Junimo language, and even cleared King of the Grasslands and Junimo Racing. Why did I get to this point? In the end, I can only keep spinning in a small room. If only life were like Stardew Valley.",0.03,0.751,0.22,0.9901,positive,1,['fiyat'],fiyat,1,0,0,1,0,0,0,0,0,0
Stardew Valley,Simulasyon,"人生要是星露谷就好了。
送出礼物就能得到友谊，失败了可以回档，永远有重来的机会，种下去就一定能长出来的菜，付出努力就一定会有回报，下雨了去海滩钓一整天的鱼也没关系。
就算在床上躺三年什么也不干，评定等级的时候爷爷也只会想着咱能够开开心心享受生活，远离世俗。
人生要真是星露谷就好了。",True,2026-05-19 05:18:21,schinese,12454,人生要是星露谷就好了 送出礼物就能得到友谊 失败了可以回档 永远有重来的机会 种下去就一定能长出来的菜 付出努力就一定会有回报 下雨了去海滩钓一整天的鱼也没关系 就算在床上躺三年什么也不干 评定等级的时候爷爷也只会想着咱能够开开心心享受生活 远离世俗 人生要真是星露谷就好了,schinese,"If only life were like Stardew Valley. You can get friendship by giving gifts. If you fail, you can go back. There is always a chance to start over. If you plant vegetables, they will surely grow. Your efforts will definitely be rewarded. It doesn’t matter if it rains and you go fishing on the beach all day. Even if you lie in bed for three years and do nothing, when assessing the grade, grandpa will only think about us being able to enjoy life happily and stay away from the world. If only life was really Stardew Valley.",0.03,0.746,0.225,0.9638,positive,1,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"Esse jogo curou o meu interior,me livrou da ansiedade,me abraçou como nenhum jogo ou pessoa ja fez, esse é o melhor jogo da steam e da minha vida.",True,2026-05-11 21:22:16,brazilian,11203,"Esse jogo curou o meu interior,me livrou da ansiedade,me abraçou como nenhum jogo ou pessoa ja fez, esse é o melhor jogo da steam e da minha vida.",brazilian,"This game healed my insides, freed me from anxiety, hugged me like no game or person ever did, this is the best game on Steam and in my life.",0.1,0.59,0.31,0.8481,positive,1,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"Купил Stardew Valley по приколу, в итоге в 4 утра обсуждаю с человеком урожай картошки и бегу спасать кур от депрессии.  
Жаль, что далеко не все поймут глубину этой игры)))) действительно тонко)))) не так уж много сейчас людей, которые осознают, что настоящий endgame — это поливать пастернак и молча рыбачить под ночной эмбиент.

Сначала думаешь:
“ну ферма и ферма”

А потом:
— у тебя расписание сна как у тракториста;  
— ты эмоционально зависим от урожая клубники;  
— ты 40 минут выбираешь обои в дом;  
— и искренне радуешься, что виртуальная курица снесла большое яйцо.

10/10  
игра, после которой начинаешь понимать деда.",True,2026-05-17 21:55:25,russian,1922,"Купил Stardew Valley по приколу, в итоге в 4 утра обсуждаю с человеком урожай картошки и бегу спасать кур от депрессии. Жаль, что далеко не все поймут глубину этой игры)))) действительно тонко)))) не так уж много сейчас людей, которые осознают, что настоящий endgame это поливать пастернак и молча рыбачить под ночной эмбиент. Сначала думаешь ну ферма и ферма А потом у тебя расписание сна как у тракториста ты эмоционально зависим от урожая клубники ты 40 минут выбираешь обои в дом и искренне радуешься, что виртуальная курица снесла большое яйцо. 10 10 игра, после которой начинаешь понимать деда.",russian,"I bought Stardew Valley for fun, and ended up discussing the potato harvest with a man at 4 am and running to save the chickens from depression. It’s a pity that not everyone will understand the depth of this game)))) really subtly)))) there are not so many people now who realize that the real endgame is watering parsnips and silently fishing to the night ambient music. At first you think, well, farm and farm And then you have a sleep schedule like a tractor driver, you are emotionally dependent on the strawberry harvest, you spend 40 minutes choosing wallpaper for your house and are sincerely glad that the virtual chicken laid a big egg. 10 10 game, after which you begin to understand your grandfather.",0.042,0.835,0.123,0.8834,positive,1,"['oynanabilirlik', 'gorsel_ses']",oynanabilirlik|gorsel_ses,2,0,0,0,0,1,0,0,1,0
Stardew Valley,Simulasyon,"非常好遊戲，精神時光屋。
但我玩這款遊戲還有另一個原因。以下是我的故事：

我與一位朋友相識於 2020 年。
我們是在某個網頁遊戲裡下棋認識的，後來交換了遊戲外的聯絡方式，斷斷續續聊了很多莫名其妙卻又有趣的話題。
之所以說「斷斷續續」是因為我經常搞消失，訊息愛回不回的。他不一樣，他總是認真回覆我的每一則訊息。
他是個很特別的人。

我們最後一次聊天是在 2024 年。
那時他即將大學畢業，準備迎接人生的下一階段，而我已經工作一段時間了。
他跟我說，他打算刪除現在這個聊天帳號，在那之前，他向我推薦了這款遊戲——《星露谷物語》。
他說，這是一款評價非常好的遊戲，想以此治治我無聊乏味的社畜生活。
但當時的我忙於工作，既沒有心思玩遊戲，也不曾嘗試這種風格，最後便不了了之。
後來，他換了聯絡方式，我們也就此斷了聯繫。

直到最近，2026 年，
我辭職了，突然間閒了下來，百般無聊地逛著 Steam 想找點新遊戲來玩，
無意間，我看見了 Stardew Valley 這個名字。
我想起了他。
我很好奇，當時他口中的星露谷究竟是什麼樣的，於是，我購買了這款遊戲。

我連續玩了一整個下午，甚至一整天。
老實說，這款遊戲比我想像中要好玩得多，這也是我第一次玩這種農場開荒類型的遊戲。
只是玩著玩著，眼淚卻突然掉了下來。
也許是因為遊戲太好玩了，又或者是因為想起了過往的點點滴滴。
說真的，我對他感到抱歉，
抱歉自己沒有珍惜過去相處的時光，也懊悔錯過了最後交換聯絡方式的機會。

他曾說過，他常駐於 Steam 與 Discord，所以我想，在這裡留言也許他能看見。
雖然機會渺茫，又或是要花上很長一段時間，
如果他真的看見了這則評論，那大概是一種奇蹟吧。
如果沒有，那我也祝你幸福。",True,2026-05-09 18:43:45,tchinese,4351,非常好遊戲 精神時光屋 但我玩這款遊戲還有另一個原因 以下是我的故事 我與一位朋友相識於 2020 年 我們是在某個網頁遊戲裡下棋認識的 後來交換了遊戲外的聯絡方式 斷斷續續聊了很多莫名其妙卻又有趣的話題 之所以說 斷斷續續 是因為我經常搞消失 訊息愛回不回的 他不一樣 他總是認真回覆我的每一則訊息 他是個很特別的人 我們最後一次聊天是在 2024 年 那時他即將大學畢業 準備迎接人生的下一階段 而我已經工作一段時間了 他跟我說 他打算刪除現在這個聊天帳號 在那之前 他向我推薦了這款遊戲 星露谷物語 他說 這是一款評價非常好的遊戲 想以此治治我無聊乏味的社畜生活 但當時的我忙於工作 既沒有心思玩遊戲 也不曾嘗試這種風格 最後便不了了之 後來 他換了聯絡方式 我們也就此斷了聯繫 直到最近 2026 年 我辭職了 突然間閒了下來 百般無聊地逛著 Steam 想找點新遊戲來玩 無意間 我看見了 Stardew Valley 這個名字 我想起了他 我很好奇 當時他口中的星露谷究竟是什麼樣的 於是 我購買了這款遊戲 我連續玩了一整個下午 甚至一整天 老實說 這款遊戲比我想像中要好玩得多 這也是我第一次玩這種農場開荒類型的遊戲 只是玩著玩著 眼淚卻突然掉了下來 也許是因為遊戲太好玩了 又或者是因為想起了過往的點點滴滴 說真的 我對他感到抱歉 抱歉自己沒有珍惜過去相處的時光 也懊悔錯過了最後交換聯絡方式的機會 他曾說過 他常駐於 Steam 與 Discord 所以我想 在這裡留言也許他能看見 雖然機會渺茫 又或是要花上很長一段時間 如果他真的看見了這則評論 那大概是一種奇蹟吧 如果沒有 那我也祝你幸福,tchinese,非常好遊戲 精神時光屋 但我玩這款遊戲還有另一個原因 以下是我的故事 我與一位朋友相識於 2020 年 我們是在某個網頁遊戲裡下棋認識的 後來交換了遊戲外的聯絡方式 斷斷續續聊了很多莫名其妙卻又有趣的話題 之所以說 斷斷續續 是因為我經常搞消失 訊息愛回不回的 他不一樣 他總是認真回覆我的每一則訊息 他是個很特別的人 我們最後一次聊天是在 2024 年 那時他即將大學畢業 準備迎接人生的下一階段 而我已經工作一段時間了 他跟我說 他打算刪除現在這個聊天帳號 在那之前 他向我推薦了這款遊戲 星露谷物語 他說 這是一款評價非常好的遊戲 想以此治治我無聊乏味的社畜生活 但當時的我忙於工作 既沒有心思玩遊戲 也不曾嘗試這種風格 最後便不了了之 後來 他換了聯絡方式 我們也就此斷了聯繫 直到最近 2026 年 我辭職了 突然間閒了下來 百般無聊地逛著 Steam 想找點新遊戲來玩 無意間 我看見了 Stardew Valley 這個名字 我想起了他 我很好奇 當時他口中的星露谷究竟是什麼樣的 於是 我購買了這款遊戲 我連續玩了一整個下午 甚至一整天 老實說 這款遊戲比我想像中要好玩得多 這也是我第一次玩這種農場開荒類型的遊戲 只是玩著玩著 眼淚卻突然掉了下來 也許是因為遊戲太好玩了 又或者是因為想起了過往的點點滴滴 說真的 我對他感到抱歉 抱歉自己沒有珍惜過去相處的時光 也懊悔錯過了最後交換聯絡方式的機會 他曾說過 他常駐於 Steam 與 Discord 所以我想 在這裡留言也許他能看見 雖然機會渺茫 又或是要花上很長一段時間 如果他真的看見了這則評論 那大概是一種奇蹟吧 如果沒有 那我也祝你幸福,0.032,0.968,0.0,-0.4019,negative,0,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,老乡记得凌晨两点前睡觉，我是说现实,True,2026-05-10 02:03:48,schinese,2073,老乡记得凌晨两点前睡觉 我是说现实,schinese,"Folks, remember to go to bed before two o'clock in the morning. I'm talking about reality.",0.0,1.0,0.0,0.0,neutral,0,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"Incrível. Achei que seria um jogo de fazendinha, para plantar e colher coisas e terminei reunindo a classe operária na praça da cidade para expulsarmos a burguesia (Joja) e incendiarmos o que sobrou, e então fortalecer o proletariado. 10/10 camaradas.",True,2026-05-16 07:24:42,brazilian,10592,"Incrível. Achei que seria um jogo de fazendinha, para plantar e colher coisas e terminei reunindo a classe operária na praça da cidade para expulsarmos a burguesia (Joja) e incendiarmos o que sobrou, e então fortalecer o proletariado. 10 10 camaradas.",brazilian,"Incredible. I thought it would be a farm game, to plant and harvest things and I ended up gathering the working class in the city square to expel the bourgeoisie (Joja) and burn down what was left, and then strengthen the proletariat. 10 10 comrades.",0.06,0.892,0.048,-0.1531,negative,0,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"Очень нраица игра, подсадила всех подруг, теперь играем вместе. Есть тока два минуса, муж мне не помогает на ферме практически никак и нельзя романсить бомжа((( А так все круто",True,2026-05-19 07:06:42,russian,5238,"Очень нраица игра, подсадила всех подруг, теперь играем вместе. Есть тока два минуса, муж мне не помогает на ферме практически никак и нельзя романсить бомжа((( А так все круто",russian,"It’s a very nice game, I got all my friends hooked on it, and now we’re playing together. There are two downsides: my husband doesn’t help me on the farm in any way and you can’t romance a homeless person (((And everything is cool",0.0,0.696,0.304,0.9392,positive,1,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"Se me hace hasta raro reseñar este juego pero lo tengo que hacer. Han sido muy bonitas estas noches de Stardew Valley en las que he encontrado una versión de mí que ni yo conocía. Un juego que deja marca, y bien que la va a dejar... Un juego tranquilo, sin egos, sin preocupaciones; simplemente tú, tu esposa y tus hijos, y tu granja. ""Una vida distinta a la nuestra en un juego distinto a los demás"".
Sinceramente me ha parecido lo mejor que he podido jugar en estos meses de agobio con el estudio, salvándome más de una noche después de un día estresante. 

El juego en sí es una pasada, empiezas plantando semillitas y acabas con pila millones, pero con la misma humildad y dedicación que la del primer día. El amor que se le pilla a este juego después de cada pez atrapado, cada regalo entregado, cada evento o cada animación de los aldeanos no lo puede entender alguien que no lo haya jugado. Por ello, después de 200 horas y platinármelo, lo recomiendo enormemente, aunque puede llegar a ser obsesivo e incluso ansioso, pero cada momento vivido será un recuerdo que admirarás haber presenciado.

Mis dieces para esta obra de arte y el amor dedicado en ella por parte de Eric.

Pd: Haley no tiene competencia. (no acepto debates)",True,2026-05-16 00:17:50,spanish,12248,"Se me hace hasta raro reseñar este juego pero lo tengo que hacer. Han sido muy bonitas estas noches de Stardew Valley en las que he encontrado una versión de mí que ni yo conocía. Un juego que deja marca, y bien que la va a dejar... Un juego tranquilo, sin egos, sin preocupaciones simplemente tú, tu esposa y tus hijos, y tu granja. ""Una vida distinta a la nuestra en un juego distinto a los demás"". Sinceramente me ha parecido lo mejor que he podido jugar en estos meses de agobio con el estudio, salvándome más de una noche después de un día estresante. El juego en sí es una pasada, empiezas plantando semillitas y acabas con pila millones, pero con la misma humildad y dedicación que la del primer día. El amor que se le pilla a este juego después de cada pez atrapado, cada regalo entregado, cada evento o cada animación de los aldeanos no lo puede entender alguien que no lo haya jugado. Por ello, después de 200 horas y platinármelo, lo recomiendo enormemente, aunque puede llegar a ser obsesivo e incluso ansioso, pero cada momento vivido será un recuerdo que admirarás haber presenciado. Mis dieces para esta obra de arte y el amor dedicado en ella por parte de Eric. Pd Haley no tiene competencia. (no acepto debates)",spanish,"It seems strange to me to review this game but I have to do it. These Stardew Valley nights have been very nice in which I have found a version of myself that I didn't even know. A game that leaves a mark, and it will... A calm game, without egos, without worries, just you, your wife and your children, and your farm. ""A life different from ours in a game different from the others."" Honestly, it seemed like the best thing I've been able to play in these months of study stress, saving me more than one night after a stressful day. The game itself is amazing, you start by planting seeds and end up with millions, but with the same humility and dedication as the first day. The love you get for this game after every fish caught, every gift given, every event or every animation of the villagers cannot be understood by someone who has not played it. Therefore, after 200 hours and platinuming it, I highly recommend it, although it can be obsessive and even anxious, but every moment experienced will be a memory that you will admire having witnessed. My tens to this work of art and the love dedicated to it by Eric. PS Haley has no competition. (I don't accept debates)",0.09,0.708,0.201,0.9897,positive,1,['diger'],diger,1,0,0,0,0,0,0,0,0,1
Stardew Valley,Simulasyon,"プレー開始当初は「あれもできる、これもできる」とか
「あの場所には何があるんだろう」などと先の展開にワクワクするのだが
何をするにも時間と体力を使うので、気が付けば効率を追って自由がなくなっていく
自営業とか自由業と言われる人々の大変さを体験させてくれるゲームだった

登場人物との人間関係構築は結構窮屈
遭遇が面倒なうえに関係を深めようと思えばアイテムの入手やイベント進行などで
プレー管理がさらにタイトになっていく
何より洋ゲーなので一部のキャラは外見や言動でファーストコンタクトから
「コイツと交流するの！？（げんなり）」みたいな気分にさせてくれる

良くできているゲームだとは思うし、色々なコンテンツがあって楽しいと言えば楽しい
おススメか否かと言われればおススメとはいえる
しかし一度何かの機会にこのゲームから離れると、
あの忙しさに戻りたいと思えずそのまま帰ってこれなくなる。私はなった

現実逃避のつもりで始めたゲームで、ゲームの世界から逃げ出してしまった私に
おススメと言う資格はあるのだろうか？",True,2026-05-10 14:15:35,japanese,6582,プレー開始当初は あれもできる これもできる とか あの場所には何があるんだろう などと先の展開にワクワクするのだが 何をするにも時間と体力を使うので 気が付けば効率を追って自由がなくなっていく 自営業とか自由業と言われる人々の大変さを体験させてくれるゲームだった 登場人物との人間関係構築は結構窮屈 遭遇が面倒なうえに関係を深めようと思えばアイテムの入手やイベント進行などで プレー管理がさらにタイトになっていく 何より洋ゲーなので一部のキャラは外見や言動でファーストコンタクトから コイツと交流するの げんなり みたいな気分にさせてくれる 良くできているゲームだとは思うし 色々なコンテンツがあって楽しいと言えば楽しい おススメか否かと言われればおススメとはいえる しかし一度何かの機会にこのゲームから離れると あの忙しさに戻りたいと思えずそのまま帰ってこれなくなる 私はなった 現実逃避のつもりで始めたゲームで ゲームの世界から逃げ出してしまった私に おススメと言う資格はあるのだろうか,japanese,"When you first start playing, you're excited to see what's next, wondering if you can do this or that, or what's in that place, but everything you do requires time and physical strength, so before you know it, you're chasing efficiency and losing your freedom.It was a game that let you experience how hard it is for people who are said to be self-employed or freelancers.It's quite difficult to build relationships with the characters.The encounters are tedious, and if you want to deepen your relationship, you have to acquire items or progress through events. Play management has become even tighter. Above all, it's a Western game, so some of the characters interact with this person from the first contact through their appearance and behavior.It makes you feel like you're in trouble.I think it's a well-made game, and it's fun to say it's fun because it has a variety of content.If you ask me if I recommend it or not, I'd say it's recommended.However, once I leave this game for some reason, I don't want to go back to that busyness and I can't come back. Am I qualified to recommend this game to someone who started playing it with the intention of escaping reality and ran away from it?",0.047,0.784,0.169,0.983,positive,1,"['hikaye_icerik', 'oynanabilirlik']",hikaye_icerik|oynanabilirlik,2,0,0,0,1,1,0,0,0,0
