game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english
The Witcher 3,RPG,"DLC announced 11 years after release, my favourite game keeps getting better",True,2026-05-27 10:17:40,english,6160,"DLC announced 11 years after release, my favourite game keeps getting better",english,"DLC announced 11 years after release, my favourite game keeps getting better"
The Witcher 3,RPG,"I started The Witcher 3 without playing the earlier games and didn’t really know the world or the author. I just jumped in like any other game. But soon I realized how amazing it was. 
I’ve always been a bit into Slavic culture, and this game is full of it music, environments, history, even the way people live. Every NPC feels like they belong there, every quest is meaningful, and the world is alive.
The combat, crafting, monsters, RPG systems, graphics, and atmosphere all hit the mark. Sometimes it’s chill and relaxing, other times it’s chaotic or mysterious. You can spend hours just exploring or focusing on a single quest.
Finishing it made me wish I could delete my memory and play it all over again. On older PCs, FPS can drop, but on modern hardware it runs perfectly.
The Witcher 3 is just a perfect mix of story, world, and gameplay truly unforgettable.",True,2026-05-15 07:39:09,english,22599,"I started The Witcher 3 without playing the earlier games and didn t really know the world or the author. I just jumped in like any other game. But soon I realized how amazing it was. I ve always been a bit into Slavic culture, and this game is full of it music, environments, history, even the way people live. Every NPC feels like they belong there, every quest is meaningful, and the world is alive. The combat, crafting, monsters, RPG systems, graphics, and atmosphere all hit the mark. Sometimes it s chill and relaxing, other times it s chaotic or mysterious. You can spend hours just exploring or focusing on a single quest. Finishing it made me wish I could delete my memory and play it all over again. On older PCs, FPS can drop, but on modern hardware it runs perfectly. The Witcher 3 is just a perfect mix of story, world, and gameplay truly unforgettable.",english,"I started The Witcher 3 without playing the earlier games and didn t really know the world or the author. I just jumped in like any other game. But soon I realized how amazing it was. I ve always been a bit into Slavic culture, and this game is full of it music, environments, history, even the way people live. Every NPC feels like they belong there, every quest is meaningful, and the world is alive. The combat, crafting, monsters, RPG systems, graphics, and atmosphere all hit the mark. Sometimes it s chill and relaxing, other times it s chaotic or mysterious. You can spend hours just exploring or focusing on a single quest. Finishing it made me wish I could delete my memory and play it all over again. On older PCs, FPS can drop, but on modern hardware it runs perfectly. The Witcher 3 is just a perfect mix of story, world, and gameplay truly unforgettable."
The Witcher 3,RPG,"[h1] Начало пути: От книжных страниц к Вызиме [/h1]

Мое подлинное знакомство с этой вселенной началось задолго до третьей части. В свое время именно «Ведьмак 2» заставил меня совершить безумный, но прекрасный поступок - прочесть всю книжную сагу Анджея Сапковского залпом, всего за одну неделю.

Только зная предысторию, понимая цену каждого шрама на теле Геральта и каждую интригу королей, можно по-настоящему оценить масштаб финала. Когда пришла очередь третьей игры, я ступила на эти земли не просто игроком, а человеком, который знает цену каждому слову в диалогах.

Отголоски той старой книжной любви и по сей день определяют мою суть. Мой ник - MeowYen - зарожден и выкован именно этой бесконечной привязанностью к Йеннифэр из Венгерберга. И раз уж зашла речь о чувствах: в Сети до сих пор не утихают глупые споры о том, кого же выбрать ведьмаку - Йеннифэр или Трисс. Смешно даже тратить на это время. Выбор очевиден, и это, разумеется, Йен. Лаванда и крыжовник не терпят компромиссов.

[h1] Анализ мира: Магия, эстетика и суровая реальность [/h1]
Этот мир жесток, но отрицать его величие невозможно.
[list]
    [*] [b]Атмосфера и визуал: [/b] Игра невероятно красивая. Авторам удалось передать меланхоличную, живую красоту славянского фэнтези. Солнце, садящееся за болота Велена, золотые поля Новиграда и суровые, омываемые штормами скалы Скеллиге - каждый кадр выглядит как ожившее полотно.
    [*] [b]Музыкальное сопровождение:[/b] Звуки этого мира - отдельный мед для ушей. Музыка группы Percival и Марчина Пшибыловича создает осязаемый уют у костра и заставляет сердце биться чаще во время боя. Она проникает под кожу и остается там навсегда.
    [*] [b]Ролевая система: [/b] Как ролевая игра с глубокими RPG-элементами, третья часть выполнена на высочайшем уровне. Это культовое произведение своего времени. Здесь нет однозначного добра и зла. Твои решения имеют вес, а последствия могут настигнуть спустя десятки часов, когда ты меньше всего этого ждешь.
[/list]

[b] Техническое состояние: [/b]

Будем честны и снимем розовые очки. Техническое состояние игры - это полное отражение нашей реальности: оно несовершенно. Даже после множества обновлений и версий следующего поколения (Next-Gen) игра сохранила свои шрамы.

Вы по-прежнему будете сталкиваться с капризным поведением Плотвы, застревающей в заборах, ломающимися скриптами физики и периодическими падениями частоты кадров в густонаселенных городах. Этот мир прекрасен, но он собран руками смертных, а значит, полон изъянов. Но всё ещё лучше подавляющего кол-ва игр.

[b] Цирилла: Сердце бури [/b]
Дитя Старшей Крови, Ласточка, Фалька. Цирилла - это незаметный, но абсолютный центр всего сюжета и повествования. Вокруг нее вращаются шестеренки политики, магии и войн.

Но главное не в ее силе перемещения между мирами. Цири - потрясающий пример для подражания. Она ломается, совершает ошибки, бежит от судьбы, но каждый раз находит в себе силы встать, обнажить ласточкин клинок и встретить опасность лицом к лицу. Это история взросления сильной, независимой женщины в мире, который пытается использовать ее в своих целях.

Это не просто игра, это эпоха, к которой хочется возвращаться.

[i] «Ты спросишь, есть ли в этой жизни хоть что-то, ради чего стоит обнажать меч и терпеть удары судьбы. Я отвечу тебе без тени сомнения. Дело вовсе не в спасении мира, не в интригах королей и не в магии древних свитков. Всё это - лишь пыль под копытами наших коней.Истинный смысл обретается там, где сквозь шум бури ты слышишь голос того, кто тебе дорог. Ради возможности защитить тех, кого мы любим, ради того, чтобы увидеть их живыми и невредимыми, стоит пройти сквозь любой ад. Всё остальное - пустое». 
- Йеннифэр из Венгерберга. [/i]",True,2026-06-01 18:25:27,russian,18598,"h1 Начало пути От книжных страниц к Вызиме h1 Мое подлинное знакомство с этой вселенной началось задолго до третьей части. В свое время именно Ведьмак 2 заставил меня совершить безумный, но прекрасный поступок - прочесть всю книжную сагу Анджея Сапковского залпом, всего за одну неделю. Только зная предысторию, понимая цену каждого шрама на теле Геральта и каждую интригу королей, можно по-настоящему оценить масштаб финала. Когда пришла очередь третьей игры, я ступила на эти земли не просто игроком, а человеком, который знает цену каждому слову в диалогах. Отголоски той старой книжной любви и по сей день определяют мою суть. Мой ник - MeowYen - зарожден и выкован именно этой бесконечной привязанностью к Йеннифэр из Венгерберга. И раз уж зашла речь о чувствах в Сети до сих пор не утихают глупые споры о том, кого же выбрать ведьмаку - Йеннифэр или Трисс. Смешно даже тратить на это время. Выбор очевиден, и это, разумеется, Йен. Лаванда и крыжовник не терпят компромиссов. h1 Анализ мира Магия, эстетика и суровая реальность h1 Этот мир жесток, но отрицать его величие невозможно. list b Атмосфера и визуал b Игра невероятно красивая. Авторам удалось передать меланхоличную, живую красоту славянского фэнтези. Солнце, садящееся за болота Велена, золотые поля Новиграда и суровые, омываемые штормами скалы Скеллиге - каждый кадр выглядит как ожившее полотно. b Музыкальное сопровождение b Звуки этого мира - отдельный мед для ушей. Музыка группы Percival и Марчина Пшибыловича создает осязаемый уют у костра и заставляет сердце биться чаще во время боя. Она проникает под кожу и остается там навсегда. b Ролевая система b Как ролевая игра с глубокими RPG-элементами, третья часть выполнена на высочайшем уровне. Это культовое произведение своего времени. Здесь нет однозначного добра и зла. Твои решения имеют вес, а последствия могут настигнуть спустя десятки часов, когда ты меньше всего этого ждешь. list b Техническое состояние b Будем честны и снимем розовые очки. Техническое состояние игры - это полное отражение нашей реальности оно несовершенно. Даже после множества обновлений и версий следующего поколения (Next-Gen) игра сохранила свои шрамы. Вы по-прежнему будете сталкиваться с капризным поведением Плотвы, застревающей в заборах, ломающимися скриптами физики и периодическими падениями частоты кадров в густонаселенных городах. Этот мир прекрасен, но он собран руками смертных, а значит, полон изъянов. Но всё ещё лучше подавляющего кол-ва игр. b Цирилла Сердце бури b Дитя Старшей Крови, Ласточка, Фалька. Цирилла - это незаметный, но абсолютный центр всего сюжета и повествования. Вокруг нее вращаются шестеренки политики, магии и войн. Но главное не в ее силе перемещения между мирами. Цири - потрясающий пример для подражания. Она ломается, совершает ошибки, бежит от судьбы, но каждый раз находит в себе силы встать, обнажить ласточкин клинок и встретить опасность лицом к лицу. Это история взросления сильной, независимой женщины в мире, который пытается использовать ее в своих целях. Это не просто игра, это эпоха, к которой хочется возвращаться. i Ты спросишь, есть ли в этой жизни хоть что-то, ради чего стоит обнажать меч и терпеть удары судьбы. Я отвечу тебе без тени сомнения. Дело вовсе не в спасении мира, не в интригах королей и не в магии древних свитков. Всё это - лишь пыль под копытами наших коней.Истинный смысл обретается там, где сквозь шум бури ты слышишь голос того, кто тебе дорог. Ради возможности защитить тех, кого мы любим, ради того, чтобы увидеть их живыми и невредимыми, стоит пройти сквозь любой ад. Всё остальное - пустое . - Йеннифэр из Венгерберга. i",russian,"h1 Начало пути От книжных страниц к Вызиме h1 Мое подлинное знакомство с этой вселенной началось задолго до третьей части. В свое время именно Ведьмак 2 заставил меня совершить безумный, но прекрасный поступок - прочесть всю книжную сагу Анджея Сапковского залпом, всего за одну неделю. Только зная предысторию, понимая цену каждого шрама на теле Геральта и каждую интригу королей, можно по-настоящему оценить масштаб финала. Когда пришла очередь третьей игры, я ступила на эти земли не просто игроком, а человеком, который знает цену каждому слову в диалогах. Отголоски той старой книжной любви и по сей день определяют мою суть. Мой ник - MeowYen - зарожден и выкован именно этой бесконечной привязанностью к Йеннифэр из Венгерберга. И раз уж зашла речь о чувствах в Сети до сих пор не утихают глупые споры о том, кого же выбрать ведьмаку - Йеннифэр или Трисс. Смешно даже тратить на это время. Выбор очевиден, и это, разумеется, Йен. Лаванда и крыжовник не терпят компромиссов. h1 Анализ мира Магия, эстетика и суровая реальность h1 Этот мир жесток, но отрицать его величие невозможно. list b Атмосфера и визуал b Игра невероятно красивая. Авторам удалось передать меланхоличную, живую красоту славянского фэнтези. Солнце, садящееся за болота Велена, золотые поля Новиграда и суровые, омываемые штормами скалы Скеллиге - каждый кадр выглядит как ожившее полотно. b Музыкальное сопровождение b Звуки этого мира - отдельный мед для ушей. Музыка группы Percival и Марчина Пшибыловича создает осязаемый уют у костра и заставляет сердце биться чаще во время боя. Она проникает под кожу и остается там навсегда. b Ролевая система b Как ролевая игра с глубокими RPG-элементами, третья часть выполнена на высочайшем уровне. Это культовое произведение своего времени. Здесь нет однозначного добра и зла. Твои решения имеют вес, а последствия могут настигнуть спустя десятки часов, когда ты меньше всего этого ждешь. list b Техническое состояние b Будем честны и снимем розовые очки. Техническое состояние игры - это полное отражение нашей реальности оно несовершенно. Даже после множества обновлений и версий следующего поколения (Next-Gen) игра сохранила свои шрамы. Вы по-прежнему будете сталкиваться с капризным поведением Плотвы, застревающей в заборах, ломающимися скриптами физики и периодическими падениями частоты кадров в густонаселенных городах. Этот мир прекрасен, но он собран руками смертных, а значит, полон изъянов. Но всё ещё лучше подавляющего кол-ва игр. b Цирилла Сердце бури b Дитя Старшей Крови, Ласточка, Фалька. Цирилла - это незаметный, но абсолютный центр всего сюжета и повествования. Вокруг нее вращаются шестеренки политики, магии и войн. Но главное не в ее силе перемещения между мирами. Цири - потрясающий пример для подражания. Она ломается, совершает ошибки, бежит от судьбы, но каждый раз находит в себе силы встать, обнажить ласточкин клинок и встретить опасность лицом к лицу. Это история взросления сильной, независимой женщины в мире, который пытается использовать ее в своих целях. Это не просто игра, это эпоха, к которой хочется возвращаться. i Ты спросишь, есть ли в этой жизни хоть что-то, ради чего стоит обнажать меч и терпеть удары судьбы. Я отвечу тебе без тени сомнения. Дело вовсе не в спасении мира, не в интригах королей и не в магии древних свитков. Всё это - лишь пыль под копытами наших коней.Истинный смысл обретается там, где сквозь шум бури ты слышишь голос того, кто тебе дорог. Ради возможности защитить тех, кого мы любим, ради того, чтобы увидеть их живыми и невредимыми, стоит пройти сквозь любой ад. Всё остальное - пустое . - Йеннифэр из Венгерберга. i"
The Witcher 3,RPG,"Ben seni oynamadan önce oyun oynadığımı sanırdım,
Ferhat ile şirini, aslı ile keremi aşk diye bilirdim.
İlyas ve ilyadayı,truvayı efsaneler efsanesi sanardım,
Odun ateşinde pişen hatay dönerini lezzetli diye bilirdim.
Ben senle tanışmadan önce gözlerim görür sanardım.
Tolstoyu,Dostevelsyi edebiyatın kendisi sanardım.
Ben senle tanışmadan önce oyunları oyun sanardım.",True,2026-05-19 16:53:30,turkish,15104,"Ben seni oynamadan önce oyun oynadığımı sanırdım, Ferhat ile şirini, aslı ile keremi aşk diye bilirdim. İlyas ve ilyadayı,truvayı efsaneler efsanesi sanardım, Odun ateşinde pişen hatay dönerini lezzetli diye bilirdim. Ben senle tanışmadan önce gözlerim görür sanardım. Tolstoyu,Dostevelsyi edebiyatın kendisi sanardım. Ben senle tanışmadan önce oyunları oyun sanardım.",turkish,"Before I played you, I thought I was playing a game. I thought Ferhat and Şirin, Asli and Kerim were love. I used to think that Elijah and Iliad and Troy were legends of legends. I thought Hatay doner cooked on wood fire was delicious. Before I met you, I thought my eyes could see. I thought Tolstoy and Dostevels were literature itself. Before I met you, I thought games were games."
The Witcher 3,RPG,"After 10 years, this game still looks better than some brand-new releases today. On the highest settings, it sometimes feels like a fantasy vacation with ray tracing instead of sunscreen. 🌲⚔️
You ride peacefully through the world, admire the scenery… and suddenly get jumped by some monster hiding in the bushes. 10/10 atmosphere.
The story? Absolutely brilliant. It feels like playing an interactive fantasy book — except every now and then you beat people up with two swords. Every quest somehow has its own little story, and even the side quests are often more exciting than the entire main stories of other games.
And then there are the DLCs…
With Hearts of Stone and Blood and Wine, it honestly feels like you’re getting an entire extra game. Hours upon hours of additional fun, new areas, new characters, and even more reasons why you wanted to do “just one more quest”… and suddenly it’s 3 AM.
Small downside:
Sometimes the gameplay turns into “Ride from ? to ? and clear 17 bandit camps along the way.” The grinding can occasionally get a bit annoying. But at least even riding around looks gorgeous.",True,2026-05-23 17:11:24,english,39204,"After 10 years, this game still looks better than some brand-new releases today. On the highest settings, it sometimes feels like a fantasy vacation with ray tracing instead of sunscreen. You ride peacefully through the world, admire the scenery and suddenly get jumped by some monster hiding in the bushes. 10 10 atmosphere. The story? Absolutely brilliant. It feels like playing an interactive fantasy book except every now and then you beat people up with two swords. Every quest somehow has its own little story, and even the side quests are often more exciting than the entire main stories of other games. And then there are the DLCs With Hearts of Stone and Blood and Wine, it honestly feels like you re getting an entire extra game. Hours upon hours of additional fun, new areas, new characters, and even more reasons why you wanted to do just one more quest and suddenly it s 3 AM. Small downside Sometimes the gameplay turns into Ride from ? to ? and clear 17 bandit camps along the way. The grinding can occasionally get a bit annoying. But at least even riding around looks gorgeous.",english,"After 10 years, this game still looks better than some brand-new releases today. On the highest settings, it sometimes feels like a fantasy vacation with ray tracing instead of sunscreen. You ride peacefully through the world, admire the scenery and suddenly get jumped by some monster hiding in the bushes. 10 10 atmosphere. The story? Absolutely brilliant. It feels like playing an interactive fantasy book except every now and then you beat people up with two swords. Every quest somehow has its own little story, and even the side quests are often more exciting than the entire main stories of other games. And then there are the DLCs With Hearts of Stone and Blood and Wine, it honestly feels like you re getting an entire extra game. Hours upon hours of additional fun, new areas, new characters, and even more reasons why you wanted to do just one more quest and suddenly it s 3 AM. Small downside Sometimes the gameplay turns into Ride from ? to ? and clear 17 bandit camps along the way. The grinding can occasionally get a bit annoying. But at least even riding around looks gorgeous."
The Witcher 3,RPG,"For those returning to the game because of the new DLC, remember, silver is for monsters and steel is for fools.",True,2026-05-27 12:33:14,english,15671,"For those returning to the game because of the new DLC, remember, silver is for monsters and steel is for fools.",english,"For those returning to the game because of the new DLC, remember, silver is for monsters and steel is for fools."
The Witcher 3,RPG,"ruchasz potwory, odcinasz głowy czarodziejką czego chcieć więcej",True,2026-05-17 10:33:55,polish,8858,"ruchasz potwory, odcinasz głowy czarodziejką czego chcieć więcej",polish,"you fuck monsters, you cut off heads with a sorceress, what more could you want"
The Witcher 3,RPG,"Советую
Дом это вовсе не то место, где можно закрыться на ключ.
Чтобы найти настоящий дом, иногда приходится пройти долгий путь
Ведьмак",True,2026-05-12 21:28:28,russian,3357,"Советую Дом это вовсе не то место, где можно закрыться на ключ. Чтобы найти настоящий дом, иногда приходится пройти долгий путь Ведьмак",russian,"I advise the house is not at all a place where you can lock yourself. To find a real home, sometimes you have to go a long way The Witcher"
The Witcher 3,RPG,利维亚的杰洛特，布拉维坎的屠夫，女术士无情打桩机，无敌的白狼，却连2楼落下的伤害都承受不住，2cm火柴盒高度的水池岸都爬不上,True,2026-05-12 03:37:02,schinese,7892,利维亚的杰洛特 布拉维坎的屠夫 女术士无情打桩机 无敌的白狼 却连2楼落下的伤害都承受不住 2cm火柴盒高度的水池岸都爬不上,schinese,"Geralt of Rivia, The Butcher of Blavikan, The Sorceress Ruthless Piledriver, The Invincible White Wolf, but they can’t even withstand the damage of falling from the second floor, and they can’t climb the bank of a pool that’s 2cm tall as a matchbox."
The Witcher 3,RPG,"есть у этой замечательной игры один, но очень огромный, минус из-за которого хочется разбить компьютер, выпить гору снотворного со слабительным и больше никогда не быть онлайн - она рано или поздно заканчивается...
я старался своими силами решить эту проблему - оставлял основной сюжет на самый последний момент, выполнял все побочки, исследовал каждый сантиметр карты, купил сизон пасс...
но все бестолку - это лишь оттягивало неизбежный момент... момент, когда тебе теперь придется высыпаться, а ноут использовать для просмотра сериалов и фильмов... момент, когда ты захочешь стереть себе память, чтобы опять пройти эту игру. Это невыносимо настолько, насколько только может быть невыносима горечь потери чего-то личного.
Правильно Ольгерд и Гюнтер в Каменных сердцах сказали - бойся своих желаний, ведь они могут исполниться.
Люди, если вы не хотите делить свою жизнь на ""до"" и ""после"" (ведьмака) - не покупайте эту игру. Иначе потом своим внукам будете как последний старпер выносить мозг вечными маразмами по поводу ""какой годной игрой был ведьмак"" и что ""таких игр больше не делают"". Из-за чего в конце концов вас сдадут в дом престарелых (впрочем, и там вы всех достанете своими ностальгическими за*бами.",True,2026-05-28 12:02:29,russian,7194,"есть у этой замечательной игры один, но очень огромный, минус из-за которого хочется разбить компьютер, выпить гору снотворного со слабительным и больше никогда не быть онлайн - она рано или поздно заканчивается... я старался своими силами решить эту проблему - оставлял основной сюжет на самый последний момент, выполнял все побочки, исследовал каждый сантиметр карты, купил сизон пасс... но все бестолку - это лишь оттягивало неизбежный момент... момент, когда тебе теперь придется высыпаться, а ноут использовать для просмотра сериалов и фильмов... момент, когда ты захочешь стереть себе память, чтобы опять пройти эту игру. Это невыносимо настолько, насколько только может быть невыносима горечь потери чего-то личного. Правильно Ольгерд и Гюнтер в Каменных сердцах сказали - бойся своих желаний, ведь они могут исполниться. Люди, если вы не хотите делить свою жизнь на ""до"" и ""после"" (ведьмака) - не покупайте эту игру. Иначе потом своим внукам будете как последний старпер выносить мозг вечными маразмами по поводу ""какой годной игрой был ведьмак"" и что ""таких игр больше не делают"". Из-за чего в конце концов вас сдадут в дом престарелых (впрочем, и там вы всех достанете своими ностальгическими за бами.",russian,"This wonderful game has one, but very huge, minus because of which you want to crash your computer, drink a mountain of sleeping pills with laxatives and never be online again - it ends sooner or later... I tried to solve this problem on my own - I left the main plot to the very last moment, completed all the side effects, explored every centimeter of the map, bought a season pass... but all to no avail - it only delayed the inevitable moment... the moment when you now have to get enough sleep and use your laptop to watch TV shows and movies... the moment when you want to erase your memory so you can play this game again. This is as unbearable as the bitterness of losing something personal can be unbearable. Olgerd and Gunther said correctly in Hearts of Stone - be afraid of your desires, because they can come true. People, if you don't want to divide your life into ""before"" and ""after"" (the Witcher), don't buy this game. Otherwise, your grandchildren will be like the last old fart to blow their minds with eternal insanity about “what a good game the Witcher was” and that “they don’t make games like that anymore.” Because of which, in the end, you will be sent to a nursing home (however, even there you will annoy everyone with your nostalgic jokes."
