game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
XCOM 2,Strateji,"Este juego es como la droga, difícil, te hace mal, pero no puedes dejarla. tengo el juego en 3 plataformas distintas y he hecho ragequit mas veces de las que me gustaría admitir. Pero siempre vuelves a recaer, este juego no se que tiene pero siempre tiene te dan ganas de volver y probar una build nueva y una campaña nueva con mods, mas si juegas Long War. Creo que es porque es  muy satisfactorio de jugar cuando te salen las cosas bien, matar un pod de 3 aliens tochos sin que te toquen se siente igual de bien que apalizar a un sionista por la calle.",True,2026-05-10 16:57:44,spanish,14448,"Este juego es como la droga, difícil, te hace mal, pero no puedes dejarla. tengo el juego en 3 plataformas distintas y he hecho ragequit mas veces de las que me gustaría admitir. Pero siempre vuelves a recaer, este juego no se que tiene pero siempre tiene te dan ganas de volver y probar una build nueva y una campaña nueva con mods, mas si juegas Long War. Creo que es porque es muy satisfactorio de jugar cuando te salen las cosas bien, matar un pod de 3 aliens tochos sin que te toquen se siente igual de bien que apalizar a un sionista por la calle.",spanish,"This game is like drugs, difficult, it makes you sick, but you can't give it up. I have the game on 3 different platforms and I have done ragequit more times than I would like to admit. But you always fall back, I don't know what this game has but it always makes you want to go back and try a new build and a new campaign with mods, especially if you play Long War. I think it's because it's very satisfying to play when things go well, killing a pod of 3 aliens without them touching you feels just as good as beating up a Zionist in the street.",0.136,0.676,0.187,0.6405,positive,1
XCOM 2,Strateji,"A legendary 10-year masterclass in tactical stress, ""95% hit chances,"" and pure heartbreak.

It’s 2026, and XCOM 2 is officially ten years old, yet it remains the gold standard against which every other turn-based tactics game is measured. Firaxis took the ""underdog"" fantasy and dialed it to eleven, turning you from a global superpower into a ragtag resistance movement operating out of a stolen alien ship. The gameplay is a perfect, agonizing loop of high-stakes decision-making. Every time you send your squad into the field, you aren't just playing a game; you’re managing a group of people you’ve grown to love, knowing full well that a single bad roll or a poorly timed ""Sectopod"" reveal can result in permanent death. It is brutal, it is unfair, and it is arguably the most satisfying strategy experience ever put on Steam.

The ""War of the Chosen"" expansion is no longer just DLC; in 2026, it’s considered the only way to truly experience the game. The addition of the Chosen—mini-bosses who taunt you, kidnap your soldiers, and sabotage your research—adds a layer of personal rivalry that was missing from the base game. When you combine that with the three new resistance factions and the ""Sitrep"" mission modifiers, no two campaigns ever feel the same. This is a game where you spend half your time in the ""Avenger"" base management screen, sweating over which research project to prioritize, and the other half in the field, screaming at your monitor because your best Ranger missed a point-blank shotgun blast. It is a masterpiece of ""calculated risk"" that rewards brilliance and punishes overconfidence with equal enthusiasm.

What truly keeps XCOM 2 alive a decade later is the sheer insanity of its modding community. With the ""Long War of the Chosen"" mod and thousands of custom voice packs, maps, and classes, you can essentially play this game forever. Whether you’re turning your soldiers into characters from Star Wars or adding 500+ mods to create a ""Season 10"" hardcore campaign like the top YouTubers, the flexibility of the engine is legendary. While the industry has moved on to newer titles, most strategy fans eventually find themselves crawling back to the Avenger. It’s a game that respects your intelligence, tests your patience, and provides a sense of triumph that few other titles can match. Good luck out there, Commander—the Council is watching.

10/10 — I missed a 99% shot and lost my favorite medic. I’m going to uninstall, then immediately start a new Ironman run.",True,2026-05-15 16:08:10,english,174,"A legendary 10-year masterclass in tactical stress, ""95 hit chances,"" and pure heartbreak. It s 2026, and XCOM 2 is officially ten years old, yet it remains the gold standard against which every other turn-based tactics game is measured. Firaxis took the ""underdog"" fantasy and dialed it to eleven, turning you from a global superpower into a ragtag resistance movement operating out of a stolen alien ship. The gameplay is a perfect, agonizing loop of high-stakes decision-making. Every time you send your squad into the field, you aren't just playing a game you re managing a group of people you ve grown to love, knowing full well that a single bad roll or a poorly timed ""Sectopod"" reveal can result in permanent death. It is brutal, it is unfair, and it is arguably the most satisfying strategy experience ever put on Steam. The ""War of the Chosen"" expansion is no longer just DLC in 2026, it s considered the only way to truly experience the game. The addition of the Chosen mini-bosses who taunt you, kidnap your soldiers, and sabotage your research adds a layer of personal rivalry that was missing from the base game. When you combine that with the three new resistance factions and the ""Sitrep"" mission modifiers, no two campaigns ever feel the same. This is a game where you spend half your time in the ""Avenger"" base management screen, sweating over which research project to prioritize, and the other half in the field, screaming at your monitor because your best Ranger missed a point-blank shotgun blast. It is a masterpiece of ""calculated risk"" that rewards brilliance and punishes overconfidence with equal enthusiasm. What truly keeps XCOM 2 alive a decade later is the sheer insanity of its modding community. With the ""Long War of the Chosen"" mod and thousands of custom voice packs, maps, and classes, you can essentially play this game forever. Whether you re turning your soldiers into characters from Star Wars or adding 500 mods to create a ""Season 10"" hardcore campaign like the top YouTubers, the flexibility of the engine is legendary. While the industry has moved on to newer titles, most strategy fans eventually find themselves crawling back to the Avenger. It s a game that respects your intelligence, tests your patience, and provides a sense of triumph that few other titles can match. Good luck out there, Commander the Council is watching. 10 10 I missed a 99 shot and lost my favorite medic. I m going to uninstall, then immediately start a new Ironman run.",english,"A legendary 10-year masterclass in tactical stress, ""95 hit chances,"" and pure heartbreak. It s 2026, and XCOM 2 is officially ten years old, yet it remains the gold standard against which every other turn-based tactics game is measured. Firaxis took the ""underdog"" fantasy and dialed it to eleven, turning you from a global superpower into a ragtag resistance movement operating out of a stolen alien ship. The gameplay is a perfect, agonizing loop of high-stakes decision-making. Every time you send your squad into the field, you aren't just playing a game you re managing a group of people you ve grown to love, knowing full well that a single bad roll or a poorly timed ""Sectopod"" reveal can result in permanent death. It is brutal, it is unfair, and it is arguably the most satisfying strategy experience ever put on Steam. The ""War of the Chosen"" expansion is no longer just DLC in 2026, it s considered the only way to truly experience the game. The addition of the Chosen mini-bosses who taunt you, kidnap your soldiers, and sabotage your research adds a layer of personal rivalry that was missing from the base game. When you combine that with the three new resistance factions and the ""Sitrep"" mission modifiers, no two campaigns ever feel the same. This is a game where you spend half your time in the ""Avenger"" base management screen, sweating over which research project to prioritize, and the other half in the field, screaming at your monitor because your best Ranger missed a point-blank shotgun blast. It is a masterpiece of ""calculated risk"" that rewards brilliance and punishes overconfidence with equal enthusiasm. What truly keeps XCOM 2 alive a decade later is the sheer insanity of its modding community. With the ""Long War of the Chosen"" mod and thousands of custom voice packs, maps, and classes, you can essentially play this game forever. Whether you re turning your soldiers into characters from Star Wars or adding 500 mods to create a ""Season 10"" hardcore campaign like the top YouTubers, the flexibility of the engine is legendary. While the industry has moved on to newer titles, most strategy fans eventually find themselves crawling back to the Avenger. It s a game that respects your intelligence, tests your patience, and provides a sense of triumph that few other titles can match. Good luck out there, Commander the Council is watching. 10 10 I missed a 99 shot and lost my favorite medic. I m going to uninstall, then immediately start a new Ironman run.",0.137,0.728,0.135,-0.2261,negative,0
XCOM 2,Strateji,在幽浮2前我是一点也没接触过美式战旗，甚至我一度因为某些乱打战旗tag的游戏以为自己讨厌战旗这一整个分支，15块钱不到买不了吃亏买不了上当，绝对物超所值,True,2026-05-17 09:20:28,schinese,500,在幽浮2前我是一点也没接触过美式战旗 甚至我一度因为某些乱打战旗tag的游戏以为自己讨厌战旗这一整个分支 15块钱不到买不了吃亏买不了上当 绝对物超所值,schinese,"Before XCOM 2, I had never been exposed to the American War Flag at all. I even thought that I hated the whole branch of War Flag because of some games that randomly used the War Flag tag. I couldn’t buy it for less than 15 yuan, and I couldn’t buy it. I couldn’t be fooled. It’s definitely worth the money.",0.239,0.685,0.075,-0.9401,negative,0
XCOM 2,Strateji,"I love this game so much, its now an annual ritual for me to give it a playthrough.",True,2026-05-24 19:42:10,english,2426,"I love this game so much, its now an annual ritual for me to give it a playthrough.",english,"I love this game so much, its now an annual ritual for me to give it a playthrough.",0.0,0.802,0.198,0.6369,positive,1
XCOM 2,Strateji,"O jogo é uma delícia, não passo raiva nenhuma.

> Botei o rookie para atirar a queima roupa no ET. 
85% de chance de acerto... errou o tiro.

> Botei o sniper para atirar no amaldiçoado ET.
90% de chance de acerto... errou o tiro. 

> A equipe toda atira no maldito ET e erra.

> AT-TE alienígena que atira duas vezes mata dois da minha equipe em um round.

10/10",True,2026-05-29 20:34:47,brazilian,6979,"O jogo é uma delícia, não passo raiva nenhuma. Botei o rookie para atirar a queima roupa no ET. 85 de chance de acerto... errou o tiro. Botei o sniper para atirar no amaldiçoado ET. 90 de chance de acerto... errou o tiro. A equipe toda atira no maldito ET e erra. AT-TE alienígena que atira duas vezes mata dois da minha equipe em um round. 10 10",brazilian,"The game is a delight, I don't get angry at all. I had the rookie shoot point-blank at ET. 85 hit chance... missed the shot. I set the sniper to shoot the cursed ET. 90 hit chance... missed the shot. The whole team shoots at the damn ET and misses. AT-TE alien that shoots twice kills two of my team in one round. 10 10",0.211,0.659,0.129,-0.6906,negative,0
XCOM 2,Strateji,"El juego de los porcentajes inventados, pero está bien para divertirte un rato.",True,2026-05-28 18:37:54,spanish,2301,"El juego de los porcentajes inventados, pero está bien para divertirte un rato.",spanish,"The game of invented percentages, but it's good to have some fun.",0.0,0.546,0.454,0.8519,positive,1
XCOM 2,Strateji,"Игра очень стремительная, начинается резко и заканчивается так же. В общем игрой больше доволен, но для новичков в жанре пошаговых боёв она может показать очень трудной даже на низких настройках сложности. Про знаменитые мемные промахи при 99% я молчу. Главноё проблемой во время прохождения стал контент из DLC про королев пришельцев, но тут писать об этом не буду,  есть отзывы под самим дополнением.",True,2026-05-22 17:39:53,russian,2146,"Игра очень стремительная, начинается резко и заканчивается так же. В общем игрой больше доволен, но для новичков в жанре пошаговых боёв она может показать очень трудной даже на низких настройках сложности. Про знаменитые мемные промахи при 99 я молчу. Главноё проблемой во время прохождения стал контент из DLC про королев пришельцев, но тут писать об этом не буду, есть отзывы под самим дополнением.",russian,"The game is very fast paced, starts abruptly and ends the same way. Overall, I'm more pleased with the game, but for newcomers to the genre of turn-based battles, it can be very difficult even on low difficulty settings. I’m silent about the famous meme misses at 99. The main problem during the playthrough was the content from the DLC about the alien queens, but I won’t write about it here, there are reviews under the add-on itself.",0.204,0.773,0.023,-0.9489,negative,0
XCOM 2,Strateji,好游戏，就是对抗压能力要求比较高，开局教学那两个人是必死的，别救了,True,2026-05-16 14:40:58,schinese,7753,好游戏 就是对抗压能力要求比较高 开局教学那两个人是必死的 别救了,schinese,"It’s a good game, but it requires high pressure resistance. The two people in the opening tutorial are bound to die. Don’t save them.",0.237,0.581,0.182,-0.4404,negative,0
XCOM 2,Strateji,Türkçe dil desteği olmadığı için oyunu tam olarak anlayamadım. Ayrıca virüs tehdidi uyarısı aldığım için yamayı da yüklemedim. Bu sebeplerden dolayı oyunu maalesef oynayamadım ve tavsiye etmiyorum.,False,2026-05-12 01:51:31,turkish,89,Türkçe dil desteği olmadığı için oyunu tam olarak anlayamadım. Ayrıca virüs tehdidi uyarısı aldığım için yamayı da yüklemedim. Bu sebeplerden dolayı oyunu maalesef oynayamadım ve tavsiye etmiyorum.,turkish,"Since there is no Turkish language support, I could not fully understand the game. Also, I did not install the patch because I received a virus threat warning. For these reasons, unfortunately, I could not play the game and I do not recommend it.",0.268,0.682,0.05,-0.8704,negative,1
XCOM 2,Strateji,"If you're looking for a great tactical game then I very much recommend this one, it scratches such a specific itch that very few other games scratch and I really like how you get attached to your characters. I do have 3 minor complaints though sadly:
1.  the turn timers in a lot of missions feel very abstract and artificially imposed to combat a certain playing style. I think there were way better solutions to solve these problems, thankfully this isn't too restrictive and some levels (especially those in the DLC impose better solutions.
2. the early game can feel quite repetitive in subsequent playthroughs
3. while you progress through the game, you unlock new unit types and classes, sadly a lot of the ones you unlock in the late game require you to level up a new unit from level one which at that point in the game is just not worth it since once leveld up they don't provide that much of a bonus compared to other units of the same level.

But again, a lot of these flaws are very minor and I would still recommend getting this game (especially if you're a fan of similar games in the genre like mewgenics). If it goes on sale I also highly recommend getting the ""war of the chosen"" DLC since it introduces a lot of fun new elements (though I do recommend trying the base game first)",True,2026-06-04 13:49:05,english,3768,"If you're looking for a great tactical game then I very much recommend this one, it scratches such a specific itch that very few other games scratch and I really like how you get attached to your characters. I do have 3 minor complaints though sadly 1. the turn timers in a lot of missions feel very abstract and artificially imposed to combat a certain playing style. I think there were way better solutions to solve these problems, thankfully this isn't too restrictive and some levels (especially those in the DLC impose better solutions. 2. the early game can feel quite repetitive in subsequent playthroughs 3. while you progress through the game, you unlock new unit types and classes, sadly a lot of the ones you unlock in the late game require you to level up a new unit from level one which at that point in the game is just not worth it since once leveld up they don't provide that much of a bonus compared to other units of the same level. But again, a lot of these flaws are very minor and I would still recommend getting this game (especially if you're a fan of similar games in the genre like mewgenics). If it goes on sale I also highly recommend getting the ""war of the chosen"" DLC since it introduces a lot of fun new elements (though I do recommend trying the base game first)",english,"If you're looking for a great tactical game then I very much recommend this one, it scratches such a specific itch that very few other games scratch and I really like how you get attached to your characters. I do have 3 minor complaints though sadly 1. the turn timers in a lot of missions feel very abstract and artificially imposed to combat a certain playing style. I think there were way better solutions to solve these problems, thankfully this isn't too restrictive and some levels (especially those in the DLC impose better solutions. 2. the early game can feel quite repetitive in subsequent playthroughs 3. while you progress through the game, you unlock new unit types and classes, sadly a lot of the ones you unlock in the late game require you to level up a new unit from level one which at that point in the game is just not worth it since once leveld up they don't provide that much of a bonus compared to other units of the same level. But again, a lot of these flaws are very minor and I would still recommend getting this game (especially if you're a fan of similar games in the genre like mewgenics). If it goes on sale I also highly recommend getting the ""war of the chosen"" DLC since it introduces a lot of fun new elements (though I do recommend trying the base game first)",0.074,0.765,0.161,0.9678,positive,1
