game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Age of Empires IV,Strateji,"My dad passed away back in May of 2024. We used to play this game together all the time. It was his favorite game to play. We were both excited when the 4th game launched and played online together against the AI all the time. He mained as the English and I mained as the French. My dad was retired at the time and pretty much played this game up to the day he went to the hospital. Sadly, we lost him about a month later due to cancer... He had over 600+ hours logged on this game. I still play this game to this day in memory of my father. I miss you so much dad!",True,2026-05-20 18:40:31,english,21403
Age of Empires IV,Strateji,"新dlc还没发布的时候大家还很奇怪,为什么岳飞为主角的dlc玩家操作的却是金朝
只能说打两把就明白了, 只要你选了金朝, 对面人人都是岳飞👍",True,2026-05-09 14:22:24,schinese,43936
Age of Empires IV,Strateji,"NMD,岳飞传奇没有岳飞，只有金朝，俩个都有我都能接受啊，这就好比抗日游戏只能玩日本，水雷真是冯虚御风了，纯nm懒狗，一个dlc4个文明到一个dlc俩个，好家伙现在就一个了，阿米诺斯",False,2026-05-09 07:51:27,schinese,43010
Age of Empires IV,Strateji,"If you're like me and want to know whats AO4 compared to AO2, to have some enhanced nostalgia, i explain the game just like this :

AOE2 + strategy rebalanced + great physic + good immersion + civilization completely different one to another = very good game.",True,2026-05-24 18:42:29,english,14328
Age of Empires IV,Strateji,"你说得对 但这游戏存在不限于的有
资源倍率挂
透视挂
官方眼瞎不作为
老外种族歧视
严谨的平衡(指明明知道是BUG故意不修复，然后修复了告诉你这算削弱恶心人）
祝你早日击败三国杀",False,2026-05-13 12:28:49,schinese,54432
Age of Empires IV,Strateji,"With the new update, any game session that includes a handheld device, the game is limited to 4 players and micro/small maps. WHAT ON EARTH. My friend and I have played for years with zero problem. No latency or performance issues. Why implement this now out of no where. 

I petition to change it back.",False,2026-06-02 20:32:44,english,4969
Age of Empires IV,Strateji,Efsane oyun! Yıllar sonra strateji oyunlarını tekrar sevdirdi. Osmanlı alıp o şahi topunun patlama sesini duymak orgazm yaşattırıyor. Hikayesi de güzel. İngilizlerin ve Rusların tarihleri hakkında bilmediğim pek çok şey öğrendim.,True,2026-05-17 18:36:36,turkish,11014
Age of Empires IV,Strateji,"Good game, I grew up with AoE II. 
AoE IV lives up to the reputation of the franchise.",True,2026-05-18 19:41:05,english,4835
Age of Empires IV,Strateji,非常好玩，基本只打pve，要是像星际一样能出个合作战役就好了,True,2026-05-28 23:17:35,schinese,33257
Age of Empires IV,Strateji,新手教程硬控半小时多，就不能设个跳过开局教程的按钮吗，从1代玩到4，万年不变的玩法，难道我还不知道怎么建小人吗。,True,2026-06-06 10:50:21,schinese,88
