game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Cities Skylines,Simulasyon,"As community-friendly and accredited as this game is, I recently came across quite possibly the worst consumer scam in the video game market when I was trying to get back into Cities Skylines. 

As a preface, I switched to console gaming a long time ago. So when I stopped using my computer, I downloaded Cities Skylines on my PS4. Over a period of about 4-5 ish weeks, I put money aside to buy DLC until I had it all. 
Mind you, Paradox's model is literally DLC centered! Nearly all of their games cost 100-400 dollars in just DLC! They literally have a SUBSCRIPTION for DLC on nearly ALL OF THEIR GAMES!!!

When you load the Paradox launcher to play Cities Skylines, there is a text bubble that f**king says ""LOG INTO YOUR PARADOX ACCOUNT TO ACCESS ALL OF YOUR DLC"" 

Imagine my frustration when I log into my Paradox account on my pc... And DONT have access to the DLC I spent weeks putting money aside for!!!

Blew the dust off the Playstation and sure enough, I'm signed into my Paradox account there. So I look it up online, and people are literally being MOCKED for expecting cross platform DLC when you are literally F***ING PROMPTED to sign into a CROSS PLATFORM PARADOX ACCOUNT!???! 

YOUR BUSINESS MODEL IS CENTERED AROUND DLC. YOU HAVE A CROSS PLATFORM DATA STORAGE SYSTEM. 

To assume that this ""lack"" of a feature is something less than greedy, malicious, noncompliance that f***s over the dedicated players who are willing to drop paychecks on your games would mean that you're willing to repaint your living room the same color twice. That is absolutely absurd.

DEAD BY DAYLIGHT, A GAME THAT ISNT EVEN SUPPORTED ANYMORE HAS THIS FEATURE. 

YOU DON'T SAVE MY MAPS, YOU DON'T SAVE MY PROGRESS, YOU DON'T REMEMBER WHAT I SPENT MY MONEY ON, WHY ARE YOU GIVING ME THE OPTION TO SIGN IN ON BOTH PLATFORMS, THEN TELLING ME ITS SO I CAN LOAD MY DLC. 

Go to hell.",False,2026-05-17 23:04:48,english,4085
Cities Skylines,Simulasyon,"[h1] Пробки, стройка, грязь. [/h1]

Вы выступаете в роли мэра и начинаете с пустого клочка земли и кучки денег. Ваша задача — построить город, где люди будут жить, работать и вечно жаловаться. Игра предлагает широкий спектр возможностей: от прокладывания дорог и организации транспортных систем до управления бюджетом, налогами и коммунальными службами. Имеются разнообразные инструменты для планирования инфраструктуры и множество возможностей для настройки. Особое внимание уделено деталям: например, можно контролировать уровень загрязнения, обеспечивать жителей водой и электричеством, а также заботиться о здоровье и образовании населения.

[h3] Архитектор, экономист и психолог. [/h3]

Нужно продумать дороги, чтобы жители не стояли в пробках, как в крупных мегаполисах. Строить школы, больницы и парки, чтобы люди не начали массово уезжать в соседний город, где есть нормальный интернет и YouTube открывается без VPN.

[h3] Графика и интерфейс. [/h3]

Графика выполнена в приятном и детализированном стиле. Она не претендует на фотореализм, но визуальные эффекты и анимации создают живую и атмосферную картину города. Интерфейс интуитивно понятный, что облегчает погружение в процесс.

[h3] Проблемы и вызовы. [/h3]

Скажу сразу: всё будет далеко не гладко. Ваша первая попытка построить идеальный город, скорее всего, закончится тем, что вы забудете про канализацию, и ваш город превратится в гигантский пруд с недовольными жителями. Или вы построите такую сложную транспортную систему, что сами запутаетесь в ней. Неправильно спланированный район может привести к коллапсу всей инфраструктуры. Недостаточное количество рабочих мест вызовет отток населения, а избыток — рост преступности. В общем, это не просто «построй домики и дороги», а симулятор управления городом со всеми его сложностями и нюансами.

[h3] Увлечение сменяется скукой. [/h3]

Однако, несмотря на все достоинства, игра довольно быстро надоедает. После нескольких часов строительства и оптимизации городских систем процесс начинает казаться однообразным и рутинным.

[h3] Итог. [/h3]

Рекомендую, если вы любите строить, планировать и наблюдать за хаосом, который вы сами же и создали.

[h1] Оценка: 6 / 10 [/h1]",True,2026-05-21 12:07:39,russian,1706
Cities Skylines,Simulasyon,不推荐玩，一打开一上午没了，再一打开一下午没了，又一打开一晚上没了,True,2026-05-30 05:09:28,schinese,7430
Cities Skylines,Simulasyon,"Строишь дороги - пробки, строишь заводы - нет товаров, строишь напротив дома кладбище - из дома две недели не могут забрать тело. Крайне рекомендую, реализм",True,2026-05-16 21:01:17,russian,953
Cities Skylines,Simulasyon,"自由度很高，在加了模组后游玩更便捷。但我一直没有学会如何建立高架桥，我看有博主说创意工坊里有相关的高架桥模组，但我忘记了叫什么名字。现在的模组有些不兼容，我英语很差每次找模组都要拿翻译软件弄半天。听说天际线2官方制作的很好，但我一直没有足够的钱去体验。
不知道你们能不能看懂，翻译准不准确，因为我是按照国内方言的习惯来书写的，稍微写标准了些。",True,2026-05-15 01:57:53,schinese,4680
Cities Skylines,Simulasyon,"Cities Skylines отличный градострой, в котором очень легко залипнуть на десятки часов. Построить небольшой район, наладить дороги, потом еще одну развязку, метро, промышленную зону… и вот уже прошло полвечера. За 90+ часов игра мне нереально зашла: приятно наблюдать, как пустая карта постепенно превращается в живой город.
Но есть важный момент, база без DLC ощущается довольно пустой. Первые часов 10 интересно разбираться с механиками и строить свой первый город, а потом начинает не хватать контента и возможностей. Дополнения сильно оживляют игру и делают развитие города куда разнообразнее. Проблема в том, что полный комплект выходит очень дорогим около 10 тысяч рублей+, и это уже напоминает The Sims 4 со своими дополнениями 😄
В итоге для меня Cities Skylines один из лучших современных градостроев. Очень затягивает, дает простор для творчества и позволяет часами ковыряться в своем городе. Но к ценику с DLC лучше быть готовым заранее: именно с ними игра раскрывается по-настоящему.",False,2026-05-25 16:33:13,russian,5447
Cities Skylines,Simulasyon,"Good game, BUT!

+ + + A very good city builder/designer. Work much better than Cities: Skylines 2. 
It is more of a ""city painter"" where you can design a nice city without much depth apart from traffic management. If you want REAL CHALLENGE, go for Workers and Resources: Soviet Republic. Less pretty but way more complex. 

- - - Note that 70% of the content what this game can to offer is locked behind DLC paywalls. OVER 100€ WORTH OF DLC ON SALE.... Lates DLC is 12€... and has issues.  Alternative option is the monthly sub for a 11 years old game. 
Too much greed and not enough focus on the actual development of the gameplay.

One comment I was reading in a forum and completely agree with:
""""I have the impression that the Paradox game developers are under a strong constant pressure to add new features into the game, so that Paradox can sell more DLC. Due to this, Paradox games are constantly being flooded with large amounts of half-baked new features, which is hurting the core gameplay of its games. I really wish that Paradox would spend more time polishing existing features and fixing bugs, and would be more careful about adding new features to the game, because these new features often upset the delicate balance of the game.""""

- Get the base game on sale and if you like it then add some DLC you like.
But be aware, this game is designed that the more you play the more DLC content you wanna see in your city.
Moddig is a good option to avoid paid DLC packages but note that updates will break them.",True,2026-05-14 22:55:19,english,1558
Cities Skylines,Simulasyon,"===Gráficos===
🔲 144p
✅ Aceitável
🔲 Ótimo
🔲 The last of us ll
🔲 Red Dead Redemption II
🔲 Cada frame foi pintado por Da Vinci

===Requisitos===
🔲 Uma calculadora com 1 pilha
🔲 Um PC batata mas não tão batata
◻️PC meia boca com GT 1030
🔲 Um i3 com uma GTX 750TI
✅ Um PC Gamer mesmo
🔲 4xRTX2080TI ligadas numa hidroelétrica

===História===
✅ História? que história?
🔲 Tem uma historinha
◻️ Uma história bacana
🔲 Uma história digna de prestar atenção
🔲 Feita pelo Tolkien (prepare seus lenços)
🔲 Platão escreveu junto com Machado de Assis e virou novela das 21h.

===Jogabilidade===
🔲 Precisa de dois dedos pra jogar
✅ : Aceitável (4 dedos pra ser específico)
🔲 Jogabilidade bacana
🔲 Jogabilidade excelente

===Complexidade===
🔲 Jogo da velha é mais complexo
◻️ Fácil de entender
✅ Fácil de aprender, difícil de dominar
🔲 É daqueles jogos que as pessoas ficam estudando
🔲 Precisa de 2 cérebros

===Dificuldade===
🔲 Você escolhe a dificuldade
🔲 Seu cachorro consegue
◻️ dá pra zerar com uma batata de controle
🔲 Fácil
✅ Médio
🔲 Bloodborne
🔲 Dark Souls
🔲 Você precisa de reflexos instantâneos e 4 mãos
===Tempo de História===
🔲 Você toma um refri e acabou
◻️ Pede um lanche no iFood, come e zera.
🔲 Curto (entre 3 ~ 7h)
🔲 Normal (entre 8~12h) (campanha)
🔲 24h ~ 48h
🔲 100h+
🔲 Você começa, seu neto termina
✅ Infinito ( dependendo de vc )

===Áudio, músicas===
🔲 É melhor jogar no mudo
✅ aceitável
🔲 God of war
🔲 Mozart compôs junto com Beethoven

===Bugs===
✅ Nunca vi nenhum
🔲 Pequenos bugs
🔲 Pode estragar a gameplay
🔲 Cyberpunk 2077

===Diversão===
🔲 Prefiro ver poça d’água secar
🔲 Difícil de gostar
🔲 Repetitivo
✅ : Vai te entreter
🔲 Você nunca esquecerá como esse jogo te divertiu
🔲 Não se divertiu assim faz alguns anos

===Compensa Comprar?===
🔲 IT'S FREE
◻️ Preço justo
🔲 Preço ótimo, compre!
✅ Espere uma promoção
🔲 GTA 6

===Vale a pena comprar?===
🔲 N-Ã-O
🔲 Eeeh... mais ou menos
✅ Compensa
🔲 Vale a pena sim
🔲 COMPRE IMEDIATAMENTE SEM ARREPENDIMENTO

Nota: 7,5/10",True,2026-05-11 00:19:19,brazilian,705
Cities Skylines,Simulasyon,самая крутая игра потому что можно затопить целые города говном своих граждан,True,2026-05-12 21:10:08,russian,392
Cities Skylines,Simulasyon,"Cities: Skylines — это прикольный симулятор мэра и ландшафтного дизайнера, который превращает обычного человека в одержимого фаната дорожных развязок. Это игра, где вы начинаете с постройки одной дороги, а через пять часов обнаруживаете себя за изучением пропускной способности перекрестков в три часа ночи.",True,2026-05-12 15:19:04,russian,1308
