game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Civilization VI,Strateji,太好玩了捏，自从玩了文明6，管也不导了，批也不扣了，唱也不漂了,True,2026-06-01 11:14:57,schinese,4441
Civilization VI,Strateji,"Civilization VI is one of those games where you tell yourself you'll only play for an hour, and suddenly it’s 3 AM. Every civilization feels unique, fun to play, and no two playthroughs ever feel the same. The replayability is honestly insane, especially with the DLC. Definitely one of the most addicting strategy games I’ve played.",True,2026-05-11 21:09:13,english,2098
Civilization VI,Strateji,"[hr][/hr]https://steamcommunity.com/sharedfiles/filedetails/?id=3734450805[b]💿 [Название]:[/b] Sid Meier's Civilization VI
[b]📅 [Дата релиза]:[/b] 21 октября 2016
[b]🏢 [Студия]:[/b] Firaxis Games
[b]⚙️ [Движок]:[/b] Firaxis
[b]⌛️  [Время прохождения]:[/b] ~50+ часов (бесконечная реиграбельность)
[b]⚙️ [Тип]:[/b] Пошаговая RTS
[b]🎭 [Жанр]:[/b] Исторический / Стратегия
[b]📖 [Сэттинг]:[/b] Земля (разные эпохи)
[b]🌌 [Франшиза]:[/b] Civilization
[b]👤 [Протагонист]:[/b] Кастомный лидер нации
[b]🦹 [Антагонист]:[/b] Лидеры враждебных наций/Варвары

[b]👍 [Что понравилось]:[/b] Большая глубина механик с разделением городов на районы, хороший саундтрек, который эволюционирует вместе с эпохами, и мощный затягивающий геймплей по принципу «еще один ход и спать».
[b]👎 [Что НЕ понравилось]:[/b] Местами откровенно глупый искусственный интеллект противников, перегруженный и хаотичный дипломатический конгресс, а также излишне мультяшный визуальный стиль по сравнению с пятой частью, который зайдет не всем.

[b]💭 [Личное впечатление]:[/b] Потрясающая в своей залипательности игра, которую каждый раз интересно именно стартовать по новой хех. Я устану вспоминать даже как много раз я стартовал новые партии и каждый раз с восторгом углублялся то в культурную победу, то в военную, то в научную, то чисто себе строил в кайф городки на популяцию и шедевры. В этом плане игра всегда была крутой песочницей, где ты можешь строить свою империю и развивать в любом направлении. А вот доигрывать прям до талого я редко оставался, каюсь) С каждой эпохой конеш партия приедается и мне лично хотелось по новой начать. После V конечно на релизе игра смотрелась дико сырой и мне прям были неприятные эти деления городов на райончики да, но к этому быстро привыкаешь и темка интересная в любом случаи. Норм так в нее погамал, и с друзьями и в соло и до сих пор считаю её одной из своих любимых игр. 
https://steamcommunity.com/sharedfiles/filedetails/?id=3733320656[hr][/hr]",True,2026-05-28 15:43:26,russian,26190
Civilization VI,Strateji,"Personal Rating: Very Positive (90%)

I spent my entire morning and afternoon by playing this today.

I used to really hate the hexagonal tile design, as it looked really dumb to me. But after giving it one more shot today for... whatever reason, I actually really like it.

By gameplay, it's somewhere in between the old AoH2 and HoI4, and that's pretty much ideal. Pretty challenging, but not overcomplicated.

I can see myself playing further, as it's really enjoyable and time passes on really quickly when playing. But I don't know if I'll go for Civ 7 or any of the DLC's.",True,2026-05-20 13:26:06,english,1058
Civilization VI,Strateji,"After finally passing 1,000 hours playtime for this, I figured I should write a review.

Civilization games function best when they allow sandbox gameplay to tell a story on its own. From the very beginnings of each game, you feel invested in your civilization and can understand how beliefs / religion can form from the natural habitat around you and the benefits it offers. Starting near floodplains can lead to you worshipping the rivers and marshes and the food they bring, starting in harsher climates such as the desert or tundra can strongly alter the culture of a country. You can develop long lasting rivalries with opposing civilizations and bare grudges for hundreds of years over past slights.

Gameplay wise each of the different win conditions is varied enough to allow you to choose a different path through each playthrough. Domination can be a slow grind towards the end as you finish off the last opponents, religion seems like a slightly more limited version of domination but does have some variety. Science victory is the least reliant on interaction with the AI and so feels like a good fallback option if other objectives haven't gone your way early. Culture wins are the most varied simply because of all the different ways of getting culture / tourism and the different mechanics that feed into it.

The last Civilization game I played a lot of was 2, so I initially approached the combat in 6 with the same brute force unit spam tactics. Fortunately things have moved on since then, you have to use the terrain and the rock/paper/scissors mechanics of the unit types to your advantage. Only forts seem to be largely useless.

One of the best things about this game is how history is brought to life within it. It was a joy to pick up on all the familiar names, from Mary Shelley's / Jane Austen's / Leo Tolstoy's books to the paintings of Andrei Rublev (as I was aware through the Andrei Tarkovsky film of his life). Even figures I became aware of such as Kristina of Sweden (depicted by Liv Ulman in The Abdication) and Eleanor of Aquitane (depicted by Katharine Hepburn in The Lion In Winter). The more you learn about the different cultures, the more you feel tied to them in the game.

If I had to voice one frustration with the game, it's that the AI doesn't play the game well enough so the difficulty levels are compensated by giving them extreme bonuses in terms of unit numbers at the start of the game. This creates a slightly skewed gameplay curve where the biggest challenge is surviving and playing catchup at the start and yet by about halfway through your victory can feel somewhat inevitable because the AI is incapable of building districts correctly and focusing on win conditions.

Overall I can't recommend the game and all the expansions enough. I played for a while without the addons and felt satisfied, but once I got them it was like I had an almost entirely new game to learn and enjoy.",True,2026-05-19 11:55:26,english,60837
Civilization VI,Strateji,"Entrei em um servidor público comandando um Japão cercado por inimigos. Todas as nações estavam em guerra contra nós.

Sob uma nova liderança, intermediei a paz, cessei os conflitos e reconstruí a estabilidade do império.
O Japão voltou a ser glorioso, como o sol erguido em sua própria bandeira.",True,2026-05-13 21:50:05,brazilian,3951
Civilization VI,Strateji,好玩，就是太好玩了（学吧学无止境.jpg），每次不敢打开，打开就是几小时过去了，特别耽误事。而且办公多了，右边斜方肌都是紧的，玩一会就疼，还是两眼紧盯着屏幕，不该，大大的不该啊（痛心疾首,True,2026-06-06 17:05:28,schinese,789
Civilization VI,Strateji,"Игра культовая, в пиратку я наиграл десятки часов и самое главное она не надоедает. Лучшая в своём роде из пошаговых стратегий, советую.
Минусы:
Конские ценники на длс. Ещё я осуждаю политику компании, игры не должны быть закрыты для рядовых граждан, игры и политика должны развиваться отдельно!",True,2026-05-14 18:44:14,russian,1292
Civilization VI,Strateji,"从水下的第一个生命萌芽......从水下......从......从......你已挂了许多科，现在开始最伟大的补考吧
每次期末都想开一把😡",True,2026-06-04 15:49:18,schinese,55217
Civilization VI,Strateji,如果我此生以后只能选五款游戏玩，文明六绝对会在其中之一,True,2026-05-27 10:27:12,schinese,8326
Civilization VI,Strateji,"Synchronization
Loading. Please wait.
Please wait.
Loading. Please wait.
Please wait.
Oh your dlc also bricked itself, check the files.
Rinse and repeat.
6th game btw",False,2026-06-05 19:29:58,english,2450
Civilization VI,Strateji,联机做的什么依托，加速器，局域网全用了，卡顿掉线一堆问题，哪家蛮族做的服务器？,False,2026-06-01 06:39:53,schinese,9408
Civilization VI,Strateji,"- Isn't it fun to launch jets and tanks against your underdeveloped neighbors who wields only bows and spears? Or perhaps threaten to steal all the affection of civilians for your culture or religion? You might also enjoy maintaining political pressure to win the game without any kind of border intrusion. But expect the same from your opponents on the world stage.
- A great variety of playstyles with 67 world leaders. THEY. ALL. ARE. PLAYED. DIFFERENTLY.",True,2026-05-26 12:06:23,english,6742
Civilization VI,Strateji,"Короче, играешь 12 часов гриндя науку, потом как только создаешь ядерку испепеляешь мир нафиг.",True,2026-05-16 17:22:48,russian,5309
Civilization VI,Strateji,还行，就是阉割版不太爽,True,2026-05-21 04:17:49,schinese,3879
Civilization VI,Strateji,越玩越年轻，开游戏的时间是9点，一把结束了回到8点了,True,2026-06-04 12:59:18,schinese,6038
