game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Cyberpunk 2077,RPG,"Что можно сказать об игре, когда за меня красноречивее скажет время, проведённое в ней? 
Более 1500+ часов куда как более красноречивы. 
Многие могут спросить ""что там можно делать столько времени?"". Скажу лишь что я проходил её неоднократно, полностью со всему концовками и закрывая все активности, находя пасхалки и изучая местность. Проходил чистую, проходил с различными модами. Проходил ""сырую"" послерелизную, когда ещё не было оптимизации и была куча багов (благо меня они, как это ни странно не затронули), проходил версии до патча 2.0, и проходил после него. Проходил и на разных уровнях сложности, включая суперхардкор (теперь уже мою основную и любимую).
Это просто одна из любимых моих игр. Да, она далеко не идеальна и, к сожалению не совсем соответствует обещаниям разработчиков огромной кучи возможностей для нас, а так же показанному нам трейлеру. Но всё равно, как по мне, это великая игра, кто бы что ни говорил. Шедевр, и этого слова я не побоюсь!
Часть из обещанных возможностей была допилена в последующих послерелизных патчах, часть допилили в DLC ""Призрачная свобода"". Часть была сделана или доделана мододелами.

Сеттинг в игре просто потрясающий. Это просто кривое зеркало нашего мира, где корпорации правят балом (а что, у нас сейчас разве по-другому?). 
Нам просто показывают будущее, то к чему нас сейчас ведут сильные мира сего - человеческая жизнь не стоит ни гроша, а чтоб занять место под солнцем - придётся изрядно потрудиться, да и Господин Случай тоже решает. Как бы там ни было, сюжет весьма интересный и захватывающий. Жаль только то, что разработчики не добавили больше вариабельности результатов от принятых тобой по мере прохождения игры решений. Сама же атмосфера весьма мрачная. Город хоть и светится яркими огнями, но ты понимаешь, что за яркими неоновыми вывесками города скрывается бездонные пустота и безысходность. Хотя, забавных моментов, порой тоже в игре хватает, куда уж без этого.

Графика в игре: Что тут сказать, если игра до сих пор считается одним из лучших ""бенчмарков"" для замера производительности системы? 
Сам лично я играл на ультранастройках с лучами и путями (карта выдаёт стабильные 50-60 fps), но... При этом, так же радует и тот факт что разработчики подумал и о людях с более слабыми системами, и настройки графики весьма гибкие.

Геймплей: весьма вариативный. 
Ты можешь просто спокойно любоваться красотами Найт-Сити и прилегающих к нему территорий. Исследовать город (весьма интересное для меня занятие, в мире полно различных пасхалок, скрытых мест и прочего. Да и сам мир в игре многомерен), исследовать пустоши. Кому-то это может показаться скучным, мне же было интересно. Слушать разговоры пешеходов, смотреть новости, наблюдать за NPC. 
А можешь ввязаться в бой с очередными бандитскими выродками (по мере выполнения заказов порой просто волосы дыбом становились от того что вытворяли те или иные уроды и нередко хотелось выпилить их самолично, что игра даёт возможность сделать в полной мере), и тогда понеслась м*да по кочкам. Бои тут так же вариативны: можешь вырезать всех тихо, а можешь переть напролом как берсерк, расчленяя всех и каждого встречного. Благо вариантов убийства и нейтрализации супротивников игра предлагает массу. Всё это исходит из ветки и системы прокачки, которую ты выберешь. Тут вариативности тоже хватает: от тихих стелса с клинками и нетранерства, до использования пушек больших и малых калибров. В общем, выбор есть и он весьма обширный.

Как было сказано ранее: 1500+ часов о многом могут сказать. Я и сам был крайне удивлён времени, проведённому в этой игре, когда впервые взглянул на счётчик времени в Стиме. Оно летит для меня незаметно. Игра очень атмосферная и буквально погружает игрока в свой мир с самых первых его шагов.

Заключение: 
Есть такие игры, которые когда пройдёшь впервые - хочется забыть, чтоб перепройти их заново, и ощутить те самые первые эмоции. Да, не смотря на такое количество часов, проведённых в ней она по прежнему дарит эмоции, не смотря на то, что я, наверное, знаю практически всё в ней. Возможно это странно, но периодически что-то заставляет меня возвращаться в неё снова и снова. Такие игры, которые не отпускают тебя, или же хоть отпускают, но ненадолго. И Cyberpunk 2077 одна из таких немногих игр. Да, не Киберпанком единым я живу, но... Кто бы что ни говорил: для меня эта игра - Шедевр!

Ahí luego, чумбы!",True,2026-05-15 08:42:40,russian,94892
Cyberpunk 2077,RPG,看了边缘行者入坑，玩了100个小时最大的感受就是：顶级的配乐----能让人起鸡皮疙瘩，主线还算完整，支线感觉没做完，尤其是市长人物更能体现出来。人生的第一款游戏，热爱到家里即使没钱买电脑也要每天早上蹬自行车去离家5公里的网吧体验上一把，总体来说是瑕不掩瑜的作品，值得体验👍,True,2026-05-10 12:51:54,schinese,6377
Cyberpunk 2077,RPG,"Cara… o que é Cyberpunk 2077? Sinceramente? Eu comprei esse jogo faz um bom tempo, mas nunca joguei porque não sou fã da temática cyberpunk. Broxei ainda mais depois do fiasco do lançamento, nem o anime eu quis dar uma chance. Mas quando eu dei uma chance ao anime... ai meu amigo, esse jogo virou obrigatório pra mim, só quem viu entenderá. O jogo melhorou demais também desde o lançamento. Então se eu curti demais esse game, se você for fã da temática, vai se apaixonar.

Cyberpunk foi provavelmente o maior soco no estômago que eu recebi nos últimos anos dentro de um jogo. Eu terminei meu primeiro final com muito ódio. Ódio real. Ódio dos personagens, do final, das escolhas e até do próprio jogo. O jogo despertou um ódio que eu nem sabia que tinha. E o mais engraçado é que depois eu lembrei de uma frase que o personagem V disse: ""quando eu estava vendo as memórias dele ,tudo que eu senti era ódio. é como se eu odiasse tudo"" E eu comecei a rir sozinho no final porque lembrei disso, pois foi exatamente assim que me senti na rota que escolhi. Fazer a pessoa do outro lado da tela sentir algo tão forte a ponto de carregar aquilo mesmo depois de desligar o jogo é uma coisa que eu nunca tinha presenciado nessa intensidade, e talvez seja isso que faz Cyberpunk ser um jogo absurdo.

O mais importante: O que me fez jogar tantas horas foi a imersão. E eu não tô falando daquela imersão genérica que todo jogo promete. No Cyberpunk você não cria um personagem pra jogar com ele. Você não cria o(a) V. Você é o(a) V. É isso que faz você abrir o jogo e depois de um tempo perceber uma coisa estranha: você não tá jogando em Night City, você está em Night City. Fazendo missão aleatória, gastando horas mexendo em gráfico, fazendo side quest pra ficar forte ou simplesmente andando pela cidade.

Eu joguei a DLC também. Apesar de não ser obrigatória, se conseguir pegar, compra, é altamente recomendável. Ela complementa muito o jogo e sinceramente? Depois de terminar Cyberpunk eu não consigo imaginar a experiência sem ela. É uma das melhores DLCs que joguei até hoje , é quase outro jogo dentro do próprio cyberpunk.

E vou falar uma última coisa: eu achei que estava zerando um jogo. No fim eu tava me despedindo de uma vida após terminar o game. E se você leu por algum milagre até aqui e ta perguntando se eu recomendo? Bem, se você realmente leu o que eu disse e ta esperando eu recomendar, então é porque o game não é pra você.",True,2026-05-15 19:47:50,brazilian,11541
Cyberpunk 2077,RPG,"---{ Graphics }---
☑ You forget what reality is
☐ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☑ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☐ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☐ Decent
☐ Fast
☑ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☐ Floppy Disk
☐ Old Fashioned
☐ Workable
☑ Big
☐ Will eat 15% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☐ Easy to learn / Hard to master
☑ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☑ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☐ Some lore
☐ Average
☐ Good
☐ Lovely
☑ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☐ Long
☑ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

10/10",True,2026-06-02 00:06:48,english,57838
Cyberpunk 2077,RPG,"Хороший сюжет, интересный открытый мир, хорошая система RPG, а главное не муторная, легкая платина.

А теперь главный вопрос: что такое этот ваш киберпанк?",True,2026-05-27 12:55:17,russian,13888
Cyberpunk 2077,RPG,"夜之城没有真正的光明。霓虹闪烁，却映照不出温暖；街道潮湿，却掩不住孤独。这不仅是一座城市，而是一部活生生的赛博朋克编年史。
	V 的存在是一种无声的悲剧。每一次拔枪、潜行、黑客入侵，都不仅是生存手段，更是一种对命运的抗争。义体的金属关节在动作中低鸣，提醒你——身体可以强化，灵魂却无法修复。战斗不仅是技巧，更是与孤独对峙的仪式，每一次交锋都在重新书写生存的代价。
	剧情线如暗河般蜿蜒：早期的选择在未来悄然回响，人物的理想与渴望常被现实碾碎。强尼·银手的孤独、街头边缘人的挣扎、帮派与企业的阴谋，都在提醒你，这里没有绝对的正义，只有选择后的伤痕与无法言说的遗憾。每一个任务、每一次偶遇，都让夜之城充满了鲜活感：雨水打在金属与皮革上，折射出的光影冰冷扭曲；霓虹在水洼里映出被拉长的梦，仿佛提醒你——未来的光亮，也许注定会折射出阴影。
	当游戏推进到最后，屏幕缓缓切入制作组名单，霓虹与城市的喧嚣退去，只剩下淡淡的电子光晕。《Never Fade Away》的旋律缓缓响起，像从遥远的记忆中飘来的告别。名单滚动间，全息电话亮起——V的好友们出现在虚拟空间里，他们声音颤抖，带着关切与惋惜。短短的片刻，却让孤独和失落具象化，提醒你：即便在钢铁与霓虹交织的世界，情感仍然真实而脆弱。
	《赛博朋克2077》的悲剧不仅在于夜之城的残酷，也在于每一次选择后的错过与无可挽回的命运。那首歌和那通全息电话，将V的终章定格成一曲无声的哀歌——短暂、深沉，却在玩家心中久久回响，让人无法释怀。",True,2026-05-18 12:34:39,schinese,19107
Cyberpunk 2077,RPG,Es un milagro de Dios que mi super PC de la nasa adelantada a un millón de años luz pueda ejecutar tremenda obra de arte 11/10,True,2026-05-10 12:26:08,latam,39
Cyberpunk 2077,RPG,"son zamanların en iyi oyunlarından biri. oyunun ilk çıktığındaki halini ve geçirdiği evrimi görmek inanılmaz. özellikle 2.0 güncellemesi ve dlcnin çıkışından sonra çok fazla şey değişti. skilltree çok daha geniş ve kapsamlı hale geldiğinden birsürü farklı build ile oynayabiliyorsunuz. 

oyunun roleplay kısmı inanılmaz derin değil. ama eksik de değil. atmosferi hoş, hikayesi derin ve müzikleri çok güzel. dlc ile almak çok daha iyi olur.

herhangi bir sonu yapsanız bile içinize oturuyor ve ekrana boş boş bakıyorsunuz.",True,2026-05-31 20:10:53,turkish,31559
Cyberpunk 2077,RPG,"Cyberpunk 2077 had a rocky release due to the premature release, but it eventually redeemed itself with the release of Phantom Liberty along with several quality of life improvements. Now, it would be safe to say that Cyberpunk 2077 is in a playable state, although not perfect by any means. It is still possible run into some bugs, and the AI still needs adjustments, especially for the pedestrians. They simply jump in front of the car, causing NCPD to tail you unnecessarily.

However, they’re not too big of a problem to take you out of the experience. Night City looks astonishing, the combat feels great, and the story pulls you in just fine. Can’t forget about the amazing soundtrack as well. All in-game soundtrack and the radio stations are simply bangers that they got me hooked the day I started playing it.

As I’ve mentioned before, the game used to be a wreck, therefore; I purposely waited for them to sort out the kinks before playing, and I don’t regret that decision. It was marketed as an open world RPG initially and I believe it still qualifies as one despite many claim it isn’t. There’s an in-depth character customization, and many skill trees to choose from as well as implants that can personalize your experience according to your tastes and needs.

Depending on which skill tree you chose to upgrade, the gameplay changes drastically. They can even be combined with others to create a hybrid build. Furthermore, Phantom Liberty adds the additional Relic Tree to flesh out the already existing builds. There are simply too many possibilities that it would be unfair to say that there isn’t enough to lead a unique experience.

The story is where the game shines best, as many have already stated before. However, the main missions are mostly focused on world-building, thus they lack enough combat to make you properly appreciate what the game truly offers. Nevertheless, Cyberpunk 2077 isn’t a game that should be breezed through. One should tackle side quests too if they want to unlock the other endings and see the bond between V and other characters.

Johnny Silverhand’s story also gets fleshed out and told mostly through side quests. Many also claim that Keanu Reeves’ involvement ruined what could’ve been a great game otherwise, but I’m inclined to disagree with that take. While it is true that his involvement happened quite late in development and led to many rewrites in the script, I’d say it turned out great.

The only aspect that left me a bit disappointed was the fact that V’s background doesn’t impact that story as much as I had hoped. The only truly different part, depending on your background, is the introduction mission and how you ended up in Night City and met Jackie Welles. All in all, Cyberpunk 2077 is a must-play. You could also watch Edgerunners to get a better grasp on the universe it is based on.

[h1]TL;DR[/h1]
Despite having a rocky headstart, Cyberpunk 2077 managed to pull itself together with Phantom Liberty as well as other patches. It offers a great storyline, strong combat, and a heavily customizable experience. The soundtrack is also noteworthy, and the universe it was built upon feels real in all aspects!",True,2026-05-15 21:10:32,english,8384
Cyberpunk 2077,RPG,"[h1] CHOOM, THIS IS THE MASTERPIECE OF NIGHT CITY [/h1]

[b][i]  Conquered Night City with a flawless 100% completion badge. I didn't just play this game; I lived, chromed-up, and burned this city to the ground alongside Johnny Silverhand.

Let’s be real, its launch was a complete cyber-disaster, but CD Projekt Red turned this ship around so hard that it evolved into an absolute legendary ride. From the tragic, existential depths of the main story to the unmatched, neon-soaked dystopian atmosphere, it is now a pure masterpiece. The massive Phantom Liberty DLC takes the experience to an entirely new level, dragging you into the gritty, high-stakes spy thriller world of Dogtown with an unforgettable narrative.

But amidst all the chaos, betrayal, and chrome, true love found its way in the badlands. Finding real connection with Panam Palmer, fighting alongside the Aldecaldos, and ending this journey with her by my side was the ultimate peak of this story. If you haven't achieved everything and driven into the sunset with Panam, you haven't truly seen Night City. A masterpiece that owns a permanent crown on my profile.

Wake the f**k up, Samurai. We have a city to burn. 9/10  [/i][/b]",True,2026-05-24 22:19:07,english,16797
