game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Elden Ring,RPG,"Когда Миядзаки били в детстве, ремнем замахивались с задержкой чтобы он не увернулся, это все знают. Но мало кто знает продолжение этой великой истории.
Однажды Миядзаки адаптировался к этому, заучил все возможные фреймы ремня, и больше не получал урон. Но его отец не растерялся, и потратил 2 года на то, чтобы снова удивить своего любимого сына. Теперь он наносил в 10 раз больше урона ремнем, прыгал как угорелый по всей комнате, а так же использовал быстрые комбинации ударов (в перемешку со старыми добрыми задержками), от чего глаза Миядзаки не успевали фокусироваться на нем. Но отец знал что одного этого мало, чтобы удивить сына, поэтому теперь его ремень всегда наносил урон по области, на случай если сын захочет перекатиться ему за спину. И даже когда Миядзаки думал что в безопасности сможет попить свою бутылочку фанты, атака ремнем доставала его через всю комнату.
Эта воспоминания так сильно вдохновили Миядзаки, что он посвятил этому целое DLC к своей игре Elden Ring.",True,2026-05-18 23:11:23,russian,6511
Elden Ring,RPG,"The ultimate GAMING experience! Honestly, this is one of those cases where writing a review feels unnecessary because words simply can't do it justice.

I hadn’t bought a Collector’s Edition in a long time, but even before this game came out, I knew I had to get the CE of Elden Ring.

The game is perfect, and it belongs in the category of “you absolutely have to play this before you die.” If I really had to mention a negative, it would probably be the reused enemies, which are the game’s biggest flaw. But the gameplay, exploration, and boss fights are all masterclass level! (ER has the weakest PvP among the Souls games, but it's still fun.)

I've been a huge fan of FromSoftware since 2011, and I can confidently say they're the best developers in the industry. 

Perfection.",True,2026-05-20 09:55:54,english,61924
Elden Ring,RPG,"é um jogo bom, mas chegando perto das duas mil horas fica só mais umas 15 build pra testar, podiam ter colocado mais conteúdo",True,2026-05-17 23:09:46,brazilian,122215
Elden Ring,RPG,"说实在的，我完全不懂，为什么法环里面这些NPC也依旧是没有善终的。
你要是说黑魂系列，火要灭了，大家都得完蛋，世界马上要完蛋了。这种末世背景下，大家都很惨那很正常。
但是交界地有到这种程度吗？交界地的事说白了就是玛丽卡这一家打内战。可以说说是乱世，但完全不到灭世的地步。这样的世界观下，居然NPC也基本没有好的结局。
柯林疯了，d和他的孪生兄弟死了，菲雅死了，罗杰尔死了，铁匠修古也要死了，罗德莉卡好不容易脱离了接肢的命运，还不容易走上自己作为调灵师的道路，居然要留在圆桌和修谷一起赴死。就连解指婆婆恩雅，最支持我们的人，也随着死亡卢恩的释放死去了。整个大赐福的人几乎死光了，唯一幸终的是涅斐丽，甚至成为了史东薇尔新王。
再说其他NPC，对我们最好的魔法老师瑟濂，明明都已经重返学院，要重兴源流了，却化作魔法师球了。米莉森自杀了，虾哥被食粪者诅咒，拉雅要带着被整个交界地歧视的蛇人的身份，孤独的活下去。布莱德，伊吉，他们都死了。亚历山大明明已经成为强者，却还是输掉了和我们的决斗，破碎了。霍斯劳放弃了成为英雄的愿望，却死在了壶村。
巨人山顶上，梅琳娜牺牲自己点燃了黄金树。
也许三指真的是对的。",True,2026-05-20 14:24:48,schinese,6922
Elden Ring,RPG,"This game is very addictive and it is huge! It took me 275 hours to play and now I have started the DLC. One of the best games I have ever played, and I have been playing games for 50 years!",True,2026-05-20 05:14:37,english,18106
Elden Ring,RPG,"Первая соулс игра, которую я осилил. Карта большая, локации красивые, а боссы дарят эмоции. Интереснее всего было встречать нпс в мире, узнавать их историю и возможно стать свидетелем их конца. Спасибо человеку который посоветовал мне эту игру.",True,2026-05-10 16:04:40,russian,6960
Elden Ring,RPG,开放世界魂游玩起来太累了，不看攻略感觉体验挺一般的。想二刷但是完全没有打开游戏的动力,True,2026-05-16 15:49:56,schinese,5685
Elden Ring,RPG,"[h3]A generational game, but not without flaws[/h3]

To preface this review: my only experience with any souls-like was 'The First Berserker: Khazan', and I never finished it.
Actually, I almost never finished Elden Ring either. A few hours in, and I was ready to quit, but the sheer number of players glazing this game was bugging me. ""What do they see, that i dont?''
I couldn't tell you exactly when I found my answer; it was more of a gradual experience. But I do now understand, even if I don't fully agree.

The [b][i]world[/i][/b] that's built here is amazing. The ambience and overall vibes made me feel like this was a living, breathing realm full of despair and danger. Even without many cut scenes, I could still grasp the severity and gravity of the events that had taken place. (even if most of the time i had no idea what was happening in the story)

The [b][i]combat[/i][/b], while at times was a little frustrating, is still one of its best features. The build diversity and scope are something special that I can't really find a comparison to in anything else I've played before it. 
The bosses, too, were imaginative and challenging, and more than a few times I found myself jumping out of my seat and slamming my desk in excitement after I defeated them.

There's more I could praise, but I won't, because so many reviews have already done that. So instead ill bring up a few of the [b][i]negatives[/i][/b] that i dont see mentioned very often.
The target locking in this game is dreadful. I swear I died more times to this than actual bosses. It's mostly fine when you have a single enemy to deal with, but as soon as there are multiple targets, it fails miserably.
The other massive flaw I feel this game has is with its in-game systems/mechanics. I can't think of a single game I've ever played that required me to tab out and Google as many times as this. It really was ridiculous. There is just so much that isn't explained or explained well, and most players will miss out on a lot of content or waste a lot of time without Alt-tabbing and turning to guides. 

Overall though, I'm happy I put the time in and finished it. It was a great adventure.

⠀",True,2026-05-31 11:33:59,english,5037
Elden Ring,RPG,"entre no jogo;
se perca msm ja tendo platinado ele em outra plataforma;
dê de cara com um boss que vc nem sabia q existia;
fique 2 horas nele até finalmente conseguir derrota-lo;
repita esse processo apenas 238 vezes e vc zerou o jogo;
absolute video game, o único problema é q te deixara mal acostumado e nenhum outro jogo vai conseguir preencher o vazio q ele deixou dentro de vc.",True,2026-05-18 00:21:18,brazilian,2109
Elden Ring,RPG,"Bonne introduction aux Souls, qui fut pour moi une première relativement longue et prenante, mais réalisable. 

La recette reste la même : une sacrée famille dysfonctionnelle, un feu à raviver et cette fatidique question : faut-il réparer un monde déjà brisé ? 
Elden Ring reprend les mécaniques et l'esthétique de ses prédécesseurs dans une cartographie inédite, où l'immensité de l'Entre-Terre laisse libre cours à l'exploration. 

300 heures et 300 murs frappés plus tard, je considère que c'était (vraiment) mémorable.",True,2026-05-14 19:46:19,french,18332
