game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Stellaris,Strateji,"I used to love this game and have spent countless nights where I should have been studying, ruling the star systems with friends. However I am so tired of taking a break, coming back and having to relearn the game because they rework how the game runs and functions every month or so. Very few times have these changes actually improved the game, many break it. 

I understand it's paradox, but the DLC are insane, I have most of them and can that most of them should have been built into the main game for free. 

Last but not least.. The User data collection and selling of such data to third parties is such a low blow, especially for a company that charges you $40 for a base game and $160 for DLC afterwards. The data collection is invasive, unnecessary, and downright greedy. 

If I could, I wish I could return the game, DLC, and get my life back that I wasted with this game",False,2026-05-20 18:14:26,english,61561
Stellaris,Strateji,"The game is currently rated very positive for all time reviews, and mixed for recent reviews. Let me explain what's happening.

Game good. Game get update. Update causes loads of lag and very bug-ridden. Fanbase justifiably upset. Mixed reviews.

That being said, they have been working on addressing these issues since and the game runs better now. Stellaris has recently hit its 10-year anniversary and with this game getting constant free updates and new content since I think that while I agree the production team isn't without criticism the game is still really, really high quality.",True,2026-05-09 22:45:35,english,4233
Stellaris,Strateji,"Like all paradox games, this is a scam meant to sell you DLC. The base game is a hollow shell. I paid for 1 month subscription to all the DLC and I can tell you that none of it is worth your cold hard cash. They sell you almost nothing in each DLC. It only looks like a lot of content spread out over 10 years of bloated development. They still demand retail prices for new DLC and season passes. The next DLC they promise ships that function like planets. Sounds cool but not worth paying money for it. If Paradox was a good company, they would have stopped developing this game and made Stellaris 2. But the quality in their games have spiraled into the gutter and all they care about is milking DLC. All the veterans are mad about changes and it's clear the game's balance is ruined with each new patch. They censor forums, ban dissenting opinions, and have armies of shills that will berate you for any criticism. Once you have played a complete game or two, everything becomes boring and the events are no longer interesting.",False,2026-05-14 15:16:38,english,20503
Stellaris,Strateji,"我没能等到人类驶向深空，但群星让我提前赴了这场约。

在我眼里，银河从不是用来征服的，是用来填补遗憾的。探索、飞升、天灾、外交——每一局都像在另一条时间线上，亲手为文明点亮一片星海。生得太早，触不到真正的星辰。

但至少在这里，我决定过它们如何闪耀。",True,2026-05-12 02:58:22,schinese,7860
Stellaris,Strateji,"群星是本人入坑p社的第一款游戏（虽然现在玩钢丝多），可以说和文明6一样是我的大战略启蒙作，不可否认是一款十分优秀的游戏。
只是p社的逆天更新毁了这游戏，每次大版本都好像在玩全新的游戏一样，重新学习成本很高，然后这样也就算了，你们为什么要每次和更新都把游戏的数值向更狗屎的方向推动？？？
我喜欢这款游戏，所以我决定给它一个差评，希望p社能在以后不要再端上来像是4.3这种傻逼更新了，还有不要每个大版本大改玩法了!",False,2026-05-10 10:30:19,schinese,12773
Stellaris,Strateji,"[h1] 什么时候能把导弹飞行速度改正啊 [/h1]

[i] （现在导弹发射时只有自身速度参数，从200速度的飞船上发射是30速度，从0速度的船上发射也是30速度，正确速度应该是a：200船体速度+30导弹速度，且在太空中应为+30加速度，所以现在导弹速度是极低的且不正确）
例如：不可能是以500km/h的飞机上扔下了一枚30km/h的导弹，它的正确初速度应为（500+30）km/h。 [/i]

[b] 否则小型和轻型飞船的导弹几乎没有意义。 [/b]

:steamsad::steamsad::steamsad:",True,2026-05-19 15:25:16,schinese,18225
Stellaris,Strateji,"I cant play the game anymore, the new update made it impossible for my launcher to even open the game without my antivirus program stopping it from going up.

You know they got alot of bad spyware in the game when even windows security has to step in.",False,2026-05-10 13:02:13,english,67330
Stellaris,Strateji,"Viele Jahre war Stellaris mein bevorzugtes Strategie-Spiel. Leider hat es sich in eine Richtung entwickelt die nichts mehr für mich ist. 

Ich möchte die Galaxie erobern und dabei nicht von stark erhöhten Mali durch Reichsgröße eingeschränkt und zu Unmengen an Micromanagement gezwungen werden. Der Einfluß von Reichsgröße auf Aufstände ist außerdem extrem lästig und es gibt keine wirksamen Mittel im Spiel, um diese Niederzugschlagen oder aufzulösen - man muß also jedes Mal die betroffenen Systeme zurückerobern -  mitten in Krisen mehr als nur lästig. Das ganze Balanceing paßt einfach nicht mehr. Ich möchte nicht die meisten Gebiete durch Vasallen kontrollieren, sondern sie selber besetzen und halten. Das ist ab einer gewissen Größe quasi nicht mehr sinnvoll möglich. Außerdem sind die gefallenen Reiche, die gegeneinander Krieg führen, heute unverhältnismäßig stark - und sie schalten sich nicht mehr gegenseitig aus, so daß die Flottengrößengrenzen selbst bei optimal bis dahin verlaufenen Spiel nicht ausreichend Gegenwehr zulassen, nicht einmal mit großen Föderationsflotten. Alles in allem macht das Spiel im gegenwärtigen Zustand keinen Spaß mehr, da es früher einfach erheblich ausgewogener war. Die gewachsene Komplexität wurde in den falschen Bereichen geschaffen. Anstatt Wirtschaft, Planeten und Spionage umfangreicher zu machen, hätte ich mir gewünscht, die Komplexität im Bereich Flotten und Kriegsführung zu erhöhen und den Malus auf Reichsgröße abzuschaffen.",False,2026-05-26 20:12:00,german,184137
Stellaris,Strateji,"Perfect game, Ruined by Paradox with DLC's and horrible reworks",False,2026-05-10 06:20:27,english,7201
Stellaris,Strateji,"What happens when a really neat grand strategy concept rots from feature creep and DLC creep.
Oh, and they're pumping AI slop into the mix, just for good measure.

Tragic.",False,2026-05-10 17:05:29,english,58831
